time,building,gld_object,property,complex_value,double_value
2022-08-10 19:55:00,main,msource,measured_voltage_A,(12470.562+1.9313438083104154e-13j),N/A
2022-08-10 19:55:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.823491468878j),N/A
2022-08-10 19:55:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-10 19:55:00,main,msource,measured_current_A,(-3.120016780668715e-13-4.215240798211024e-14j),N/A
2022-08-10 19:55:00,main,msource,measured_current_B,(2.912262587944543e-13+3.67182581919682e-14j),N/A
2022-08-10 19:55:00,main,msource,measured_current_C,(3.025659406472046e-13+3.968433694842504e-14j),N/A
2022-08-10 19:55:00,main,msource,measured_power_A,(2142.3508081010114+378.20475808433565j),N/A
2022-08-10 19:55:00,main,msource,measured_power_B,(2832.155362041394+403.1240032764417j),N/A
2022-08-10 19:55:00,main,msource,measured_power_C,(2511.331153334865+2.251284111033101j),N/A
2022-08-10 20:00:00,main,msource,measured_voltage_A,(12470.562-2.927661486353236e-13j),N/A
2022-08-10 20:00:00,main,msource,measured_voltage_B,(-6235.280999999998-10799.82349146888j),N/A
2022-08-10 20:00:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468876j),N/A
2022-08-10 20:00:00,main,msource,measured_current_A,(-5.292445839642079e-12+7.157401285713391e-13j),N/A
2022-08-10 20:00:00,main,msource,measured_current_B,(-3.913980859550906e-13-1.3608208187353514e-12j),N/A
2022-08-10 20:00:00,main,msource,measured_current_C,(-5.174719462889815e-13+1.2964191252618896e-12j),N/A
2022-08-10 20:00:00,main,msource,measured_power_A,(642.2994365800018+265.4843264881124j),N/A
2022-08-10 20:00:00,main,msource,measured_power_B,(1384.3291256060156+437.9464145847787j),N/A
2022-08-10 20:00:00,main,msource,measured_power_C,(1044.3053544754102+121.77076588081889j),N/A
2022-08-10 20:05:00,main,msource,measured_voltage_A,(12470.562-1.9276433205662245e-13j),N/A
2022-08-10 20:05:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.823491468878j),N/A
2022-08-10 20:05:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-10 20:05:00,main,msource,measured_current_A,(3.1140387751945707e-13+4.207164324801435e-14j),N/A
2022-08-10 20:05:00,main,msource,measured_current_B,(-2.906682643054263e-13-3.6647905381742103e-14j),N/A
2022-08-10 20:05:00,main,msource,measured_current_C,(-3.019862191339469e-13-3.960830108061005e-14j),N/A
2022-08-10 20:05:00,main,msource,measured_power_A,(639.1637127259344+267.2703431148746j),N/A
2022-08-10 20:05:00,main,msource,measured_power_B,(1382.157434065226+435.00354251419674j),N/A
2022-08-10 20:05:00,main,msource,measured_power_C,(1046.5334019439388+119.17686765332928j),N/A
2022-08-10 20:10:00,main,msource,measured_voltage_A,(12470.562-1.5727152842394862e-13j),N/A
2022-08-10 20:10:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.823491468878j),N/A
2022-08-10 20:10:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-10 20:10:00,main,msource,measured_current_A,(2.540665238849438e-13+3.432518644050155e-14j),N/A
2022-08-10 20:10:00,main,msource,measured_current_B,(-2.371488630906195e-13-2.9900096306353065e-14j),N/A
2022-08-10 20:10:00,main,msource,measured_current_C,(-2.463828953180742e-13-3.231540805688939e-14j),N/A
2022-08-10 20:10:00,main,msource,measured_power_A,(634.7375634918736+267.06656996485134j),N/A
2022-08-10 20:10:00,main,msource,measured_power_B,(1379.844591673322+436.10491665244837j),N/A
2022-08-10 20:10:00,main,msource,measured_power_C,(1039.2906204080407+120.35232557290044j),N/A
2022-08-10 20:15:00,main,msource,measured_voltage_A,(12470.562-1.3731184316524773e-13j),N/A
2022-08-10 20:15:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.823491468878j),N/A
2022-08-10 20:15:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-10 20:15:00,main,msource,measured_current_A,(2.2182236690157792e-13+2.9968899421074886e-14j),N/A
2022-08-10 20:15:00,main,msource,measured_current_B,(-2.070517646890074e-13-2.610540748085314e-14j),N/A
2022-08-10 20:15:00,main,msource,measured_current_C,(-2.151138850085937e-13-2.8214186556178263e-14j),N/A
2022-08-10 20:15:00,main,msource,measured_power_A,(632.2484814725578+267.1395411028557j),N/A
2022-08-10 20:15:00,main,msource,measured_power_B,(1373.2886702313986+439.9240160230695j),N/A
2022-08-10 20:15:00,main,msource,measured_power_C,(1024.174135462456+122.98924041592852j),N/A
2022-08-10 20:20:00,main,msource,measured_voltage_A,(12470.562-1.5380198134973743e-13j),N/A
2022-08-10 20:20:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.823491468878j),N/A
2022-08-10 20:20:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-10 20:20:00,main,msource,measured_current_A,(2.484615947955297e-13+3.356794289248081e-14j),N/A
2022-08-10 20:20:00,main,msource,measured_current_B,(-2.3191715235229316e-13-2.924047410583185e-14j),N/A
2022-08-10 20:20:00,main,msource,measured_current_C,(-2.4094747377577083e-13-3.1602501972747535e-14j),N/A
2022-08-10 20:20:00,main,msource,measured_power_A,(634.3048934646378+265.4045421618438j),N/A
2022-08-10 20:20:00,main,msource,measured_power_B,(1375.7189912021113+438.5164323201512j),N/A
2022-08-10 20:20:00,main,msource,measured_power_C,(1028.490635280322+122.05705556268839j),N/A
2022-08-10 20:25:00,main,msource,measured_voltage_A,(12470.562-1.4794683621270558e-13j),N/A
2022-08-10 20:25:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.823491468878j),N/A
2022-08-10 20:25:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-10 20:25:00,main,msource,measured_current_A,(2.390028174394816e-13+3.229003232291448e-14j),N/A
2022-08-10 20:25:00,main,msource,measured_current_B,(-2.2308821156184914e-13-2.8127307563614483e-14j),N/A
2022-08-10 20:25:00,main,msource,measured_current_C,(-2.317747543024744e-13-3.0399414508464436e-14j),N/A
2022-08-10 20:25:00,main,msource,measured_power_A,(633.5747170028559+263.3203045476092j),N/A
2022-08-10 20:25:00,main,msource,measured_power_B,(1376.296335201987+436.1049771866209j),N/A
2022-08-10 20:25:00,main,msource,measured_power_C,(1024.8014361501496+115.71925056837358j),N/A
2022-08-10 20:30:00,main,msource,measured_voltage_A,(12470.562-2.0218111155124054e-13j),N/A
2022-08-10 20:30:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.823491468878j),N/A
2022-08-10 20:30:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-10 20:30:00,main,msource,measured_current_A,(3.2661634767450847e-13+4.4126895810643085e-14j),N/A
2022-08-10 20:30:00,main,msource,measured_current_B,(-3.0486777373668126e-13-3.843820154409501e-14j),N/A
2022-08-10 20:30:00,main,msource,measured_current_C,(-3.167386248599319e-13-4.154321628744919e-14j),N/A
2022-08-10 20:30:00,main,msource,measured_power_A,(640.3380270887498+263.8708725650721j),N/A
2022-08-10 20:30:00,main,msource,measured_power_B,(1385.3316497871087+437.0350841222137j),N/A
2022-08-10 20:30:00,main,msource,measured_power_C,(1039.1558149969487+123.23071551670614j),N/A
2022-08-10 20:35:00,main,msource,measured_voltage_A,(12470.562-1.5720000186669873e-13j),N/A
2022-08-10 20:35:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.823491468878j),N/A
2022-08-10 20:35:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-10 20:35:00,main,msource,measured_current_A,(2.5395097529234064e-13+3.4309575462229427e-14j),N/A
2022-08-10 20:35:00,main,msource,measured_current_B,(-2.370410085927165e-13-2.9886497844052447e-14j),N/A
2022-08-10 20:35:00,main,msource,measured_current_C,(-2.4627084121366023e-13-3.23007111190037e-14j),N/A
2022-08-10 20:35:00,main,msource,measured_power_A,(634.7286295838749+264.5353685572424j),N/A
2022-08-10 20:35:00,main,msource,measured_power_B,(1379.6638870496795+437.2587037580387j),N/A
2022-08-10 20:35:00,main,msource,measured_power_C,(1029.5420299769912+120.45716764584381j),N/A
2022-08-10 20:40:00,main,msource,measured_voltage_A,(12470.562-1.3630010537836456e-13j),N/A
2022-08-10 20:40:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.823491468878j),N/A
2022-08-10 20:40:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-10 20:40:00,main,msource,measured_current_A,(2.2018794072684436e-13+2.974808330444092e-14j),N/A
2022-08-10 20:40:00,main,msource,measured_current_B,(-2.0552617090665163e-13-2.5913058251671382e-14j),N/A
2022-08-10 20:40:00,main,msource,measured_current_C,(-2.135288881071646e-13-2.8006299472245497e-14j),N/A
2022-08-10 20:40:00,main,msource,measured_power_A,(632.1223008620223+265.95634203044517j),N/A
2022-08-10 20:40:00,main,msource,measured_power_B,(1377.3532628010616+438.3673697067396j),N/A
2022-08-10 20:40:00,main,msource,measured_power_C,(1028.7749720366219+125.70527758031176j),N/A
2022-08-10 20:45:00,main,msource,measured_voltage_A,(12470.562-1.3322018834740147e-13j),N/A
2022-08-10 20:45:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.823491468878j),N/A
2022-08-10 20:45:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-10 20:45:00,main,msource,measured_current_A,(2.1521244502363307e-13+2.90758781865247e-14j),N/A
2022-08-10 20:45:00,main,msource,measured_current_B,(-2.0088198114372497e-13-2.5327511606552428e-14j),N/A
2022-08-10 20:45:00,main,msource,measured_current_C,(-2.087038642580762e-13-2.7373452722205394e-14j),N/A
2022-08-10 20:45:00,main,msource,measured_power_A,(631.7382117903809+261.76373861109874j),N/A
2022-08-10 20:45:00,main,msource,measured_power_B,(1374.1578857394916+433.35851962798733j),N/A
2022-08-10 20:45:00,main,msource,measured_power_C,(1021.4207602868668+116.10778705841955j),N/A
2022-08-10 20:50:00,main,msource,measured_voltage_A,(12470.562-1.9719240817832004e-13j),N/A
2022-08-10 20:50:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.823491468878j),N/A
2022-08-10 20:50:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-10 20:50:00,main,msource,measured_current_A,(3.185572759699697e-13+4.303808987680452e-14j),N/A
2022-08-10 20:50:00,main,msource,measured_current_B,(-2.9734533566387697e-13-3.7489760889966814e-14j),N/A
2022-08-10 20:50:00,main,msource,measured_current_C,(-3.089232803203285e-13-4.0518161169169066e-14j),N/A
2022-08-10 20:50:00,main,msource,measured_power_A,(639.7158860348862+262.483601354156j),N/A
2022-08-10 20:50:00,main,msource,measured_power_B,(1381.4521549865508+435.47805577706913j),N/A
2022-08-10 20:50:00,main,msource,measured_power_C,(1033.1315322553487+118.34697476355853j),N/A
2022-08-10 20:55:00,main,msource,measured_voltage_A,(12470.562-1.2707309620397134e-13j),N/A
2022-08-10 20:55:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.823491468878j),N/A
2022-08-10 20:55:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-10 20:55:00,main,msource,measured_current_A,(2.0528203773038315e-13+2.773424892912091e-14j),N/A
2022-08-10 20:55:00,main,msource,measured_current_B,(-1.9161281508591135e-13-2.4158840780151283e-14j),N/A
2022-08-10 20:55:00,main,msource,measured_current_C,(-1.990737781562699e-13-2.6110377371129994e-14j),N/A
2022-08-10 20:55:00,main,msource,measured_power_A,(630.9716166538323+263.80315750104893j),N/A
2022-08-10 20:55:00,main,msource,measured_power_B,(1372.086317703905+437.46558751482064j),N/A
2022-08-10 20:55:00,main,msource,measured_power_C,(1020.041242877455+117.12109416860744j),N/A
2022-08-10 21:00:00,main,msource,measured_voltage_A,(12470.562-1.1798796847690797e-13j),N/A
2022-08-10 21:00:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.823491468878j),N/A
2022-08-10 21:00:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-10 21:00:00,main,msource,measured_current_A,(1.9060533913276067e-13+2.5751380788953885e-14j),N/A
2022-08-10 21:00:00,main,msource,measured_current_B,(-1.7791340151056732e-13-2.2431597478601806e-14j),N/A
2022-08-10 21:00:00,main,msource,measured_current_C,(-1.8484094087058907e-13-2.424360839717052e-14j),N/A
2022-08-10 21:00:00,main,msource,measured_power_A,(629.8386562235105+267.4268531390929j),N/A
2022-08-10 21:00:00,main,msource,measured_power_B,(1371.4749877788222+439.4392996513075j),N/A
2022-08-10 21:00:00,main,msource,measured_power_C,(1021.5506652468616+122.86331107870484j),N/A
2022-08-10 21:05:00,main,msource,measured_voltage_A,(12470.562-8.985062841096176e-14j),N/A
2022-08-10 21:05:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.823491468878j),N/A
2022-08-10 21:05:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-10 21:05:00,main,msource,measured_current_A,(1.4515047356642e-13+1.9610285491018658e-14j),N/A
2022-08-10 21:05:00,main,msource,measured_current_B,(-1.3548526290275825e-13-1.7082191987300638e-14j),N/A
2022-08-10 21:05:00,main,msource,measured_current_C,(-1.4076074796174074e-13-1.846208115585419e-14j),N/A
2022-08-10 21:05:00,main,msource,measured_power_A,(626.329771934527+267.41652558884925j),N/A
2022-08-10 21:05:00,main,msource,measured_power_B,(1366.7462295344017+437.33204428233825j),N/A
2022-08-10 21:05:00,main,msource,measured_power_C,(1018.1033892835824+119.71098402954044j),N/A
2022-08-10 21:10:00,main,msource,measured_voltage_A,(12470.562-9.376182681999854e-14j),N/A
