average_voltage,current_A,current_B,current_C
(12210.509143151216+0j),(84+0j),(86.22222222222223-120j),(86.55555555555556+120j)
(12212.228363952801+0j),(83.8+0j),(85.8-120j),(86.06666666666666+120j)
(12207.494091745446+0j),(84.46666666666667+0j),(87-120j),(86.86666666666666+120j)
(12202.999007506753+0j),(84.85714285714286+0j),(87.64285714285714-120j),(87.35714285714286+120j)
(12200.469663470305+0j),(86.25+0j),(89.16666666666667-120j),(89.08333333333333+120j)
(12193.307770845358+0j),(92.21428571428572+0j),(95.57142857142856-120j),(95.07142857142856+120j)
(12192.172103832338+0j),(100.3846153846154+0j),(103.46153846153848-120j),(102.76923076923076+120j)
(12193.3490101503+0j),(102.5+0j),(105.64285714285714-120j),(104.78571428571428+120j)
(12190.351229906433+0j),(103.6923076923077+0j),(106.76923076923076-120j),(106.46153846153848+120j)
(12188.63398295192+0j),(103.06666666666666+0j),(106.46666666666668-120j),(105.8+120j)
(12189.018883131377+0j),(102+0j),(105.21428571428572-120j),(104.5+120j)
(12186.33832831014+0j),(100.35714285714286+0j),(103.57142857142856-120j),(103.35714285714286+120j)
(12193.329765141327+0j),(99.4+0j),(102.4-120j),(101.86666666666666+120j)
(12202.33917862768+0j),(99.28571428571428+0j),(102.57142857142856-120j),(101.57142857142856+120j)
(12206.161744970392+0j),(97.84615384615384+0j),(101.3076923076923-120j),(100.15384615384616+120j)
(12209.847904381371+0j),(96.23076923076924+0j),(99.46153846153848-120j),(99.07692307692308+120j)
(12205.136578146257+0j),(95+0j),(98.83333333333331-120j),(98.08333333333331+120j)
(12206.916741476258+0j),(91.07692307692308+0j),(94.3076923076923-120j),(93.92307692307692+120j)
(12210.03443292988+0j),(78.73333333333333+0j),(81.8-120j),(81.93333333333334+120j)
(12208.854988808536+0j),(76.92857142857143+0j),(79.85714285714286-120j),(80.92857142857143+120j)
(12204.118813248644+0j),(77.23076923076923+0j),(80.07692307692308-120j),(80.38461538461539+120j)
(12206.161744970394+0j),(77.53846153846153+0j),(80.15384615384616-120j),(80.53846153846153+120j)
(12199.588834213466+0j),(78.6923076923077+0j),(81.46153846153847-120j),(81.38461538461539+120j)
(12193.720163894779+0j),(80.78571428571429+0j),(83.78571428571429-120j),(83.5+120j)
(12202.519997118583+0j),(84.53846153846153+0j),(87.53846153846153-120j),(86.76923076923077+120j)
(12197.057375340866+0j),(84.07692307692308+0j),(86.76923076923077-120j),(86.61538461538461+120j)
(12197.717627187169+0j),(83.33333333333333+0j),(85.53333333333333-120j),(86.06666666666666+120j)
(12208.813749503593+0j),(81.57142857142857+0j),(83.92857142857143-120j),(84.57142857142857+120j)
(12198.875077012544+0j),(83.92857142857143+0j),(85.78571428571429-120j),(86.35714285714286+120j)
(12195.458559210801+0j),(82.61538461538461+0j),(85.15384615384616-120j),(85+120j)
(12202.957768201815+0j),(83.35714285714286+0j),(85.78571428571429-120j),(85.71428571428571+120j)
(12212.651754150207+0j),(83.8+0j),(86.53333333333333-120j),(86.26666666666667+120j)
(12217.638960761205+0j),(84.42857142857143+0j),(86.85714285714286-120j),(87.07142857142857+120j)
(12224.622149731407+0j),(84.33333333333333+0j),(86.46666666666667-120j),(86.86666666666666+120j)
(12227.041522288011+0j),(83.92857142857143+0j),(85.78571428571429-120j),(86.85714285714286+120j)
(12220.64943002198+0j),(82.92857142857143+0j),(84.92857142857143-120j),(85.92857142857143+120j)
(12233.999717740062+0j),(82.45454545454545+0j),(84.72727272727273-120j),(84.81818181818181+120j)
(12231.121041223054+0j),(82.92307692307692+0j),(84.53846153846153-120j),(85.46153846153847+120j)
(12238.671006281686+0j),(82.92307692307692+0j),(84.6923076923077-120j),(85.38461538461539+120j)
(12239.603649024224+0j),(82.38461538461539+0j),(84.15384615384616-120j),(84.53846153846153+120j)
(12224.196010247004+0j),(82.35714285714286+0j),(84.21428571428571-120j),(84.57142857142857+120j)
(12226.29921479905+0j),(82+0j),(83.64285714285714-120j),(84.64285714285714+120j)
(12228.767228587127+0j),(81.6923076923077+0j),(84.15384615384616-120j),(84+120j)
(12238.715417840856+0j),(82.53846153846153+0j),(85.38461538461539-120j),(85.3076923076923+120j)
(12239.0174164432+0j),(82.33333333333333+0j),(84.33333333333333-120j),(84.6+120j)
(12240.314233970917+0j),(82.46153846153847+0j),(85.07692307692308-120j),(84.6923076923077+120j)
(12243.200985316867+0j),(82.61538461538461+0j),(84.76923076923077-120j),(84.6923076923077+120j)
(12260.34088638527+0j),(83.13333333333334+0j),(85.2-120j),(85.06666666666666+120j)
(12265.652508861815+0j),(82.93333333333334+0j),(84.53333333333333-120j),(84.73333333333333+120j)
(12275.221719477306+0j),(80.92307692307692+0j),(82.84615384615384-120j),(82.92307692307692+120j)
(12271.332535795842+0j),(80.28571428571429+0j),(82.64285714285714-120j),(82.71428571428571+120j)
(12275.976715983168+0j),(80.23076923076923+0j),(82.07692307692308-120j),(81.92307692307692+120j)
(12280.124755609502+0j),(79.53333333333333+0j),(81.8-120j),(81.46666666666667+120j)
(12287.212840452783+0j),(79.15384615384616+0j),(81.3076923076923-120j),(81+120j)
(12283.126977009288+0j),(79.07692307692308+0j),(81.07692307692308-120j),(80.92307692307692+120j)
(12278.43119481988+0j),(78.53333333333333+0j),(80.6-120j),(80.53333333333333+120j)
(12281.08404528754+0j),(78.53846153846153+0j),(80.76923076923077-120j),(80.61538461538461+120j)
(12298.271318685724+0j),(77.38461538461539+0j),(79.6923076923077-120j),(79.46153846153847+120j)
(12294.921418222733+0j),(76.42857142857143+0j),(79.21428571428571-120j),(78.64285714285714+120j)
(12287.49834333315+0j),(76.57142857142857+0j),(79-120j),(78.42857142857143+120j)
(12280.570140102876+0j),(76.92857142857143+0j),(78.57142857142857-120j),(79.28571428571429+120j)
(12290.302616069215+0j),(69.28571428571429+0j),(70.71428571428571-120j),(71.21428571428571+120j)
(12295.562213576448+0j),(64.23076923076923+0j),(65.92307692307692-120j),(66.53846153846153+120j)
(12293.827201998267+0j),(64.4+0j),(66.06666666666666-120j),(66.53333333333333+120j)
(12301.68466423324+0j),(64.28571428571429+0j),(65.42857142857143-120j),(66.42857142857143+120j)
(12307.52002588255+0j),(63.41666666666666+0j),(64.66666666666667-120j),(65.66666666666667+120j)
(12318.963933003984+0j),(63.142857142857146+0j),(64.64285714285714-120j),(65.21428571428571+120j)
(12332.779100159594+0j),(59.333333333333336+0j),(61.41666666666666-120j),(61.66666666666666+120j)
(12340.151418981555+0j),(57.46153846153846+0j),(59.23076923076923-120j),(59.61538461538461+120j)
(12349.92196199861+0j),(57+0j),(58.23076923076923-120j),(58.84615384615385+120j)
(12363.419903731587+0j),(57.07142857142857+0j),(58.21428571428572-120j),(58.71428571428572+120j)
(12363.08998929205+0j),(56.42857142857143+0j),(57.42857142857143-120j),(58.5+120j)
(12383.852393203293+0j),(56.07692307692308+0j),(57.30769230769231-120j),(58.15384615384615+120j)
(12414.309206030159+0j),(55.42857142857143+0j),(56.642857142857146-120j),(57.285714285714285+120j)
(12402.63848273154+0j),(55.6+0j),(57.2-120j),(57.6+120j)
(12410.413466356627+0j),(54.6+0j),(55.73333333333333-120j),(57.06666666666667+120j)
(12422.10343466422+0j),(54.07142857142857+0j),(55.285714285714285-120j),(56.35714285714285+120j)
(12419.60369833388+0j),(53.69230769230769+0j),(54.76923076923077-120j),(56.07692307692308+120j)
(12438.929071080604+0j),(54+0j),(55.07142857142857-120j),(56.35714285714285+120j)
(12453.280349200459+0j),(53.642857142857146+0j),(55-120j),(55.785714285714285+120j)
(12444.092232059355+0j),(53.13333333333333+0j),(54.53333333333333-120j),(55.6+120j)
(12444.074467435687+0j),(53+0j),(54.61538461538461-120j),(55.46153846153846+120j)
(12454.1051352993+0j),(53.21428571428572+0j),(54.35714285714285-120j),(55.5+120j)
(12460.868381309807+0j),(52.92857142857143+0j),(54.42857142857143-120j),(55.71428571428572+120j)
(12442.668101395355+0j),(53.6+0j),(55-120j),(56.266666666666666+120j)
(12436.743387918672+0j),(52.85714285714285+0j),(54.5-120j),(55.57142857142857+120j)
(12448.785264961767+0j),(52.5+0j),(54.285714285714285-120j),(54.85714285714285+120j)
(12449.004150503386+0j),(52.38461538461539+0j),(54.07692307692308-120j),(54.69230769230769+120j)
(12450.674025128117+0j),(52+0j),(53.73333333333333-120j),(54.66666666666666+120j)
(12454.600006958606+0j),(52.6+0j),(53.93333333333333-120j),(54.8+120j)
(12463.177782386569+0j),(52.142857142857146+0j),(53.642857142857146-120j),(54.57142857142857+120j)
(12473.893128454027+0j),(51.833333333333336+0j),(53.16666666666666-120j),(54.083333333333336+120j)
(12481.735469610518+0j),(52.4+0j),(53.266666666666666-120j),(54.4+120j)
(12497.282687573697+0j),(51.285714285714285+0j),(52.57142857142857-120j),(54.21428571428572+120j)
(12435.585938093294+0j),(52+0j),(53.13333333333333-120j),(54.53333333333333+120j)
(12388.693253152655+0j),(52.46153846153846+0j),(53.23076923076923-120j),(54.61538461538461+120j)
(12392.69981024049+0j),(51.85714285714285+0j),(53.21428571428572-120j),(54.42857142857143+120j)
(12412.247240783052+0j),(52.07142857142857+0j),(53.21428571428572-120j),(54.35714285714285+120j)
