time,building,meter,avgVoltage,currentA,currentB,currentC,powerA,powerB,powerC
2022-08-10 19:55:00,NAG,NAG02,,,,,(11.857142857142858-9j),(16.714285714285715-9.642857142857142j),(13.857142857142858-10.785714285714286j)
2022-08-10 20:00:00,NAG,NAG02,,,,,(11.533333333333331-9j),(16.066666666666666-9.466666666666669j),(13.466666666666669-10.333333333333334j)
2022-08-10 20:05:00,NAG,NAG02,,,,,(12-8.928571428571429j),(16.642857142857142-9.214285714285714j),(14.071428571428571-10.357142857142858j)
2022-08-10 20:10:00,NAG,NAG02,,,,,(12-8.818181818181818j),(16.454545454545453-9.363636363636363j),(13.727272727272728-10.181818181818182j)
2022-08-10 20:15:00,NAG,NAG02,,,,,(12-9j),(16.5-9.416666666666666j),(13.916666666666666-10.333333333333334j)
2022-08-10 20:20:00,NAG,NAG02,,,,,(11.916666666666666-9.083333333333334j),(16.583333333333332-9.5j),(14.333333333333334-10.333333333333334j)
2022-08-10 20:25:00,NAG,NAG02,,,,,(11.11111111111111-9j),(16-9j),(13.22222222222222-10j)
2022-08-10 20:30:00,NAG,NAG02,,,,,(11.2-8.8j),(15.4-9.133333333333333j),(13-10j)
2022-08-10 20:35:00,NAG,NAG02,,,,,(11.416666666666666-8.583333333333334j),(15.666666666666666-9.166666666666666j),(12.666666666666666-10.083333333333334j)
2022-08-10 20:40:00,NAG,NAG02,,,,,(11.5-8.916666666666666j),(15.833333333333334-9.25j),(13.25-10j)
2022-08-10 20:45:00,NAG,NAG02,,,,,(11.363636363636363-8.454545454545455j),(15.636363636363637-8.909090909090908j),(13-9.727272727272728j)
2022-08-10 20:50:00,NAG,NAG02,,,,,(10.933333333333334-8.666666666666666j),(15.4-8.866666666666667j),(13.333333333333334-9.866666666666667j)
2022-08-10 20:55:00,NAG,NAG02,,,,,(10.333333333333334-8.166666666666666j),(14.75-8.5j),(12.416666666666666-9.333333333333334j)
2022-08-10 21:00:00,NAG,NAG02,,,,,(9.9375-8.1875j),(14.4375-8.4375j),(12.25-9.25j)
