time,building,meter,avgVoltage,currentA,currentB,currentC,powerA,powerB,powerC
2022-08-10 19:55:00,NAK,NAK02,,,,,(16.071428571428573-3j),(17.642857142857142+2j),(52.07142857142857-0.0714285714285714j)
2022-08-10 20:00:00,NAK,NAK02,,,,,(16.125-3j),(16.9375+2j),(49.625-0.8125j)
2022-08-10 20:05:00,NAK,NAK02,,,,,(16.764705882352942-2.9411764705882355j),(17.647058823529413+2.117647058823529j),(51.1764705882353-1.411764705882353j)
2022-08-10 20:10:00,NAK,NAK02,,,,,(17.076923076923077-2.8461538461538463j),(17.615384615384617+2.1538461538461537j),(51.53846153846154-0.6153846153846154j)
2022-08-10 20:15:00,NAK,NAK02,,,,,(17.2-2.933333333333333j),(18.4+2.333333333333333j),(53.73333333333333+1j)
2022-08-10 20:20:00,NAK,NAK02,,,,,(17.153846153846153-3j),(17.692307692307693+2.5384615384615383j),(51.69230769230769-1j)
2022-08-10 20:25:00,NAK,NAK02,,,,,(16.72222222222222-3j),(17.77777777777778+2.833333333333333j),(51.55555555555556-1.2222222222222223j)
2022-08-10 20:30:00,NAK,NAK02,,,,,(16.357142857142858-3j),(18.642857142857142+2.857142857142857j),(52.5+0.0714285714285714j)
2022-08-10 20:35:00,NAK,NAK02,,,,,(16.666666666666668-3j),(19.266666666666666+2.6j),(53.53333333333333+1.3333333333333333j)
2022-08-10 20:40:00,NAK,NAK02,,,,,(17-2.923076923076923j),(16.76923076923077+2.076923076923077j),(50.46153846153846-0.0769230769230769j)
2022-08-10 20:45:00,NAK,NAK02,,,,,(17.846153846153847-3j),(17.46153846153846+2.3846153846153846j),(52.15384615384615-1.8461538461538465j)
2022-08-10 20:50:00,NAK,NAK02,,,,,(17.933333333333334-3.2j),(17.666666666666668+2.6666666666666665j),(52.2-0.8j)
2022-08-10 20:55:00,NAK,NAK02,,,,,(16-3.142857142857143j),(16.571428571428573+2.071428571428572j),(49.35714285714285-0.8571428571428571j)
2022-08-10 21:00:00,NAK,NAK02,,,,,(15.352941176470589-3j),(15.823529411764708+2.235294117647059j),(48.41176470588236-2.294117647058824j)
2022-08-10 21:05:00,NAK,NAK02,,,,,(15.375-3.1875j),(15.3125+2.125j),(47.3125-3.1875j)
2022-08-10 21:10:00,NAK,NAK02,,,,,(15.214285714285714-3j),(15.142857142857142+2.142857142857143j),(46.785714285714285-3.071428571428572j)
2022-08-10 21:15:00,NAK,NAK02,,,,,(15.833333333333334-2.9166666666666665j),(15.583333333333334+2.1666666666666665j),(47.583333333333336-2.1666666666666665j)
2022-08-10 21:20:00,NAK,NAK02,,,,,(15.666666666666666-2.8666666666666667j),(15.066666666666666+2.2666666666666666j),(46.93333333333333-2.6j)
2022-08-10 21:25:00,NAK,NAK02,,,,,(15.071428571428571-2.2857142857142856j),(13.928571428571429+2j),(45.71428571428572-2.2142857142857144j)
2022-08-10 21:30:00,NAK,NAK02,,,,,(15.076923076923077-2.6153846153846154j),(14.076923076923077+2j),(44.92307692307692-3.230769230769231j)
2022-08-10 21:35:00,NAK,NAK02,,,,,(15.8-2.2666666666666666j),(15.466666666666669+2j),(47.333333333333336-2.1333333333333333j)
2022-08-10 21:40:00,NAK,NAK02,,,,,(15.23076923076923-2.769230769230769j),(15.692307692307692+2j),(47.38461538461539-0.3076923076923077j)
2022-08-10 21:45:00,NAK,NAK02,,,,,(14.714285714285714-3j),(16+2j),(47.35714285714285+0j)
2022-08-10 21:50:00,NAK,NAK02,,,,,(14.8-2.8666666666666667j),(15.933333333333334+2j),(47.73333333333333+0j)
2022-08-10 21:55:00,NAK,NAK02,,,,,(14.272727272727272-3.636363636363636j),(16.09090909090909+2j),(46.27272727272727-1.181818181818182j)
2022-08-10 22:00:00,NAK,NAK02,,,,,(14.428571428571429-3.2142857142857144j),(16.071428571428573+2j),(46.85714285714285-2.142857142857143j)
2022-08-10 22:05:00,NAK,NAK02,,,,,(14.875-4j),(17.375+2.875j),(48-1.8125j)
2022-08-10 22:10:00,NAK,NAK02,,,,,(14.076923076923077-4.076923076923077j),(17.076923076923077+3j),(48-0.3846153846153846j)
2022-08-10 22:15:00,NAK,NAK02,,,,,(14.615384615384617-4.076923076923077j),(17+3j),(47.53846153846154-1.1538461538461535j)
2022-08-10 22:20:00,NAK,NAK02,,,,,(14.571428571428571-4j),(16.5+2.2857142857142856j),(47.285714285714285-1.5714285714285714j)
2022-08-10 22:25:00,NAK,NAK02,,,,,(14.533333333333331-3.6666666666666665j),(14.866666666666667+2j),(45.13333333333333-2.2j)
2022-08-10 22:30:00,NAK,NAK02,,,,,(14.846153846153848-3.076923076923077j),(15.153846153846152+2j),(46.07692307692308-1.7692307692307692j)
