time,building,meter,avgVoltage,currentA,currentB,currentC,powerA,powerB,powerC
2022-08-10 19:55:00,NAM,NAM01,,,,,(12.181818181818182+4j),(10+5j),(33.45454545454545+12.818181818181818j)
2022-08-10 20:00:00,NAM,NAM01,,,,,(12.066666666666666+4j),(10+5.066666666666666j),(34.266666666666666+12.933333333333334j)
2022-08-10 20:05:00,NAM,NAM01,,,,,(11.533333333333331+4.266666666666667j),(10+5j),(32.266666666666666+13j)
2022-08-10 20:10:00,NAM,NAM01,,,,,(11.133333333333333+4.333333333333333j),(10+5j),(32.13333333333333+13.066666666666666j)
2022-08-10 20:15:00,NAM,NAM01,,,,,(11.2+4.2j),(10.133333333333333+5.266666666666667j),(32.4+13.2j)
2022-08-10 20:20:00,NAM,NAM01,,,,,(11.066666666666666+4j),(10.066666666666666+5.2j),(32+13.066666666666666j)
2022-08-10 20:25:00,NAM,NAM01,,,,,(11+4j),(10.066666666666666+5j),(32.06666666666667+13j)
2022-08-10 20:30:00,NAM,NAM01,,,,,(11+4j),(10.066666666666666+5j),(31.73333333333333+13j)
2022-08-10 20:35:00,NAM,NAM01,,,,,(11.266666666666667+4j),(10.066666666666666+5.133333333333334j),(32.13333333333333+13j)
2022-08-10 20:40:00,NAM,NAM01,,,,,(11+4j),(10+5j),(31.73333333333333+12.866666666666667j)
2022-08-10 20:45:00,NAM,NAM01,,,,,(11.133333333333333+4j),(10+5.266666666666667j),(32+12.933333333333334j)
2022-08-10 20:50:00,NAM,NAM01,,,,,(11.666666666666666+4j),(10+5j),(31.933333333333334+12.6j)
2022-08-10 20:55:00,NAM,NAM01,,,,,(11.4+4j),(10+5j),(31.73333333333333+12.2j)
2022-08-10 21:00:00,NAM,NAM01,,,,,(11.733333333333333+4j),(10+5j),(32.2+12.933333333333334j)
2022-08-10 21:05:00,NAM,NAM01,,,,,(11.2+4j),(10.066666666666666+5j),(31.933333333333334+13j)
2022-08-10 21:10:00,NAM,NAM01,,,,,(11.2+4j),(10+5.066666666666666j),(32+13j)
2022-08-10 21:15:00,NAM,NAM01,,,,,(11.733333333333333+4j),(10.533333333333331+5.666666666666667j),(32.53333333333333+13j)
2022-08-10 21:20:00,NAM,NAM01,,,,,(11.733333333333333+4j),(10.533333333333331+5.733333333333333j),(33.93333333333333+13.066666666666666j)
2022-08-10 21:25:00,NAM,NAM01,,,,,(12.066666666666666+4j),(10.733333333333333+5.466666666666667j),(33.666666666666664+13j)
2022-08-10 21:30:00,NAM,NAM01,,,,,(12.066666666666666+4j),(10.4+5.333333333333333j),(32.666666666666664+13j)
2022-08-10 21:35:00,NAM,NAM01,,,,,(12+4j),(10+5.066666666666666j),(32.733333333333334+13j)
2022-08-10 21:40:00,NAM,NAM01,,,,,(12+4.6j),(10.666666666666666+5.666666666666667j),(33.53333333333333+13.533333333333331j)
2022-08-10 21:45:00,NAM,NAM01,,,,,(12+5j),(10.333333333333334+5.333333333333333j),(32.93333333333333+13.2j)
