time,building,meter,avgVoltage,currentA,currentB,currentC,powerA,powerB,powerC
2022-08-10 19:55:00,NBM,NBM02,,,,,(52.45454545454545+16.181818181818183j),(34.63636363636363+15.181818181818182j),(42.54545454545455-7.181818181818182j)
2022-08-10 20:00:00,NBM,NBM02,,,,,(52.333333333333336+17j),(33+15.2j),(42-7.333333333333333j)
2022-08-10 20:05:00,NBM,NBM02,,,,,(51.266666666666666+16.6j),(32.333333333333336+14.866666666666667j),(41.46666666666667-7j)
2022-08-10 20:10:00,NBM,NBM02,,,,,(50.93333333333333+16.733333333333334j),(32.06666666666667+14.933333333333334j),(41.06666666666667-7.066666666666666j)
2022-08-10 20:15:00,NBM,NBM02,,,,,(51.333333333333336+17j),(31.73333333333333+14.8j),(41.4-7.6j)
2022-08-10 20:20:00,NBM,NBM02,,,,,(51.333333333333336+16.4j),(33.06666666666667+14.733333333333333j),(41.333333333333336-6.933333333333334j)
2022-08-10 20:25:00,NBM,NBM02,,,,,(51.93333333333333+17j),(32.86666666666667+15.133333333333333j),(41.93333333333333-7.333333333333333j)
2022-08-10 20:30:00,NBM,NBM02,,,,,(52.6+16.666666666666668j),(33.4+14.8j),(41.4-7.333333333333333j)
2022-08-10 20:35:00,NBM,NBM02,,,,,(49.86666666666667+15.866666666666667j),(31.4+14.466666666666669j),(38.06666666666667-7.333333333333333j)
2022-08-10 20:40:00,NBM,NBM02,,,,,(48.2+17.2j),(29.2+15.933333333333334j),(36.333333333333336-6.2j)
2022-08-10 20:45:00,NBM,NBM02,,,,,(50.73333333333333+17.866666666666667j),(30.933333333333334+16.133333333333333j),(38.13333333333333-6.733333333333333j)
2022-08-10 20:50:00,NBM,NBM02,,,,,(50.53333333333333+17.6j),(31.2+15.533333333333331j),(37.8-6.8j)
2022-08-10 20:55:00,NBM,NBM02,,,,,(51.266666666666666+17.6j),(32.333333333333336+16j),(38.66666666666666-6.933333333333334j)
2022-08-10 21:00:00,NBM,NBM02,,,,,(50.266666666666666+17j),(31.266666666666666+16j),(37.13333333333333-7.133333333333334j)
2022-08-10 21:05:00,NBM,NBM02,,,,,(52.93333333333333+14.866666666666667j),(35.13333333333333+14.733333333333333j),(39.46666666666667-7.266666666666667j)
2022-08-10 21:10:00,NBM,NBM02,,,,,(52.6+15j),(34.46666666666667+14.8j),(39.13333333333333-8j)
2022-08-10 21:15:00,NBM,NBM02,,,,,(51.8+15.2j),(33.13333333333333+14.733333333333333j),(38.333333333333336-7.933333333333334j)
2022-08-10 21:20:00,NBM,NBM02,,,,,(52.266666666666666+15.4j),(34+14.666666666666666j),(38.93333333333333-7.4j)
2022-08-10 21:25:00,NBM,NBM02,,,,,(51.333333333333336+16.2j),(31.066666666666663+14.933333333333334j),(37.86666666666667-8.133333333333333j)
2022-08-10 21:30:00,NBM,NBM02,,,,,(50.86666666666667+16.133333333333333j),(31+14.533333333333331j),(37.66666666666666-7.866666666666666j)
2022-08-10 21:35:00,NBM,NBM02,,,,,(49.53333333333333+15.6j),(30.866666666666667+14.533333333333331j),(36.8-7j)
2022-08-10 21:40:00,NBM,NBM02,,,,,(45.66666666666666+15.866666666666667j),(26.666666666666668+15.2j),(32.86666666666667-5.866666666666666j)
2022-08-10 21:45:00,NBM,NBM02,,,,,(50.2+15.866666666666667j),(30.866666666666667+14.8j),(37.2-6.933333333333334j)
2022-08-10 21:50:00,NBM,NBM02,,,,,(47.46666666666667+17.533333333333335j),(28.33333333333333+15.666666666666666j),(35.2-6.666666666666667j)
2022-08-10 21:55:00,NBM,NBM02,,,,,(47.93333333333333+17.466666666666665j),(29+15.266666666666667j),(36.13333333333333-6.666666666666667j)
2022-08-10 22:00:00,NBM,NBM02,,,,,(46.86666666666667+17.733333333333334j),(27.53333333333333+15.666666666666666j),(34.733333333333334-6.933333333333334j)
2022-08-10 22:05:00,NBM,NBM02,,,,,(48.266666666666666+17.4j),(28.6+15.4j),(35.86666666666667-6.933333333333334j)
2022-08-10 22:10:00,NBM,NBM02,,,,,(48.53333333333333+16.8j),(29.53333333333333+15.066666666666666j),(36.266666666666666-6.6j)
2022-08-10 22:15:00,NBM,NBM02,,,,,(47.333333333333336+17.266666666666666j),(27.8+15.266666666666667j),(35-6.8j)
2022-08-10 22:20:00,NBM,NBM02,,,,,(46.66666666666666+16.8j),(28.4+15.6j),(34.53333333333333-6.266666666666667j)
2022-08-10 22:25:00,NBM,NBM02,,,,,(50+16.6j),(31.33333333333333+15.333333333333334j),(37.2-6.466666666666667j)
2022-08-10 22:30:00,NBM,NBM02,,,,,(49.266666666666666+15.533333333333331j),(31.133333333333333+14.733333333333333j),(36.53333333333333-6.666666666666667j)
2022-08-10 22:35:00,NBM,NBM02,,,,,(48.266666666666666+15.466666666666669j),(30.666666666666668+14.333333333333334j),(36.266666666666666-5.866666666666666j)
2022-08-10 22:40:00,NBM,NBM02,,,,,(48.06666666666667+15.066666666666666j),(29.666666666666668+14.8j),(35.266666666666666-6j)
2022-08-10 22:45:00,NBM,NBM02,,,,,(47+15.733333333333333j),(28.133333333333333+15.133333333333333j),(34.333333333333336-6j)
2022-08-10 22:50:00,NBM,NBM02,,,,,(46.66666666666666+16.733333333333334j),(27.466666666666665+15.333333333333334j),(34.333333333333336-5.933333333333334j)
2022-08-10 22:55:00,NBM,NBM02,,,,,(44.66666666666666+17.6j),(25.2+15.866666666666667j),(32.46666666666667-5.466666666666667j)
2022-08-10 23:00:00,NBM,NBM02,,,,,(44.8+17.866666666666667j),(24.866666666666667+16.133333333333333j),(32.2-5.733333333333333j)
2022-08-10 23:05:00,NBM,NBM02,,,,,(44.4+17.666666666666668j),(24.666666666666668+15.8j),(32.333333333333336-5.866666666666666j)
2022-08-10 23:10:00,NBM,NBM02,,,,,(45.06666666666667+17.4j),(25.266666666666666+15.8j),(32.666666666666664-5.733333333333333j)
2022-08-10 23:15:00,NBM,NBM02,,,,,(43.86666666666667+18j),(24.066666666666663+16j),(31.8-5.533333333333333j)
2022-08-10 23:20:00,NBM,NBM02,,,,,(46.333333333333336+17.6j),(27.133333333333333+16j),(34.13333333333333-5.533333333333333j)
2022-08-10 23:25:00,NBM,NBM02,,,,,(43.93333333333333+17.866666666666667j),(24.133333333333333+16j),(31.8-5.466666666666667j)
2022-08-10 23:30:00,NBM,NBM02,,,,,(44.13333333333333+17.866666666666667j),(24.266666666666666+16j),(31.8-5.533333333333333j)
2022-08-10 23:35:00,NBM,NBM02,,,,,(46.4+16j),(26.933333333333334+15j),(33.733333333333334-6.2j)
2022-08-10 23:40:00,NBM,NBM02,,,,,(45.93333333333333+15.466666666666669j),(27.4+15j),(33.333333333333336-5.733333333333333j)
2022-08-10 23:45:00,NBM,NBM02,,,,,(46.13333333333333+15.133333333333333j),(27.933333333333334+15j),(33.333333333333336-5.666666666666667j)
2022-08-10 23:50:00,NBM,NBM02,,,,,(45.86666666666667+15.4j),(27.53333333333333+15j),(33.06666666666667-5.933333333333334j)
2022-08-10 23:55:00,NBM,NBM02,,,,,(46.13333333333333+15.533333333333331j),(27.53333333333333+15.2j),(33.13333333333333-5.8j)
2022-08-11 00:00:00,NBM,NBM02,,,,,(44.86666666666667+17j),(26.266666666666666+16j),(32.333333333333336-5j)
2022-08-11 00:05:00,NBM,NBM02,,,,,(44.06666666666667+17.533333333333335j),(24.53333333333333+16.066666666666666j),(31.53333333333333-5.466666666666667j)
2022-08-11 00:10:00,NBM,NBM02,,,,,(43.46666666666667+17.333333333333332j),(23.53333333333333+16j),(30.866666666666667-5.533333333333333j)
2022-08-11 00:15:00,NBM,NBM02,,,,,(42.86666666666667+17.4j),(23+16j),(30.4-5.2j)
2022-08-11 00:20:00,NBM,NBM02,,,,,(43.73333333333333+17.333333333333332j),(23.73333333333333+16j),(30.933333333333334-5.133333333333334j)
2022-08-11 00:25:00,NBM,NBM02,,,,,(42.73333333333333+18.133333333333333j),(22.8+16.133333333333333j),(30.2-5j)
2022-08-11 00:30:00,NBM,NBM02,,,,,(43.53333333333333+17.2j),(23.466666666666665+16j),(30.666666666666668-5.333333333333333j)
2022-08-11 00:35:00,NBM,NBM02,,,,,(42.53333333333333+17.333333333333332j),(22.8+16j),(30.2-5j)
2022-08-11 00:40:00,NBM,NBM02,,,,,(43.86666666666667+17.133333333333333j),(23.933333333333334+16j),(31.133333333333333-5.333333333333333j)
2022-08-11 00:45:00,NBM,NBM02,,,,,(44.266666666666666+16.533333333333335j),(24.466666666666665+15.533333333333331j),(31.466666666666665-5.6j)
2022-08-11 00:50:00,NBM,NBM02,,,,,(44.66666666666666+16j),(24.73333333333333+15j),(31.8-6j)
2022-08-11 00:55:00,NBM,NBM02,,,,,(44.8+15.466666666666669j),(26.133333333333333+14.933333333333334j),(32.13333333333333-5.8j)
2022-08-11 01:00:00,NBM,NBM02,,,,,(44.4+15.866666666666667j),(26.4+15.866666666666667j),(31.73333333333333-5.066666666666666j)
2022-08-11 01:05:00,NBM,NBM02,,,,,(43.8+15.533333333333331j),(26.8+15.866666666666667j),(31.33333333333333-4.466666666666667j)
2022-08-11 01:10:00,NBM,NBM02,,,,,(42.06666666666667+17.266666666666666j),(24.4+17j),(29.933333333333334-4j)
2022-08-11 01:15:00,NBM,NBM02,,,,,(42.266666666666666+16.666666666666668j),(24.8+17j),(29.8-4.066666666666666j)
2022-08-11 01:20:00,NBM,NBM02,,,,,(42.4+16.866666666666667j),(24.933333333333334+17j),(30.466666666666665-3.733333333333333j)
2022-08-11 01:25:00,NBM,NBM02,,,,,(40.93333333333333+17.533333333333335j),(22.133333333333333+17j),(28.73333333333333-4.4j)
