time,building,meter,avgVoltage,currentA,currentB,currentC,powerA,powerB,powerC
2022-08-10 19:55:00,NBP,NBP01,,,,,(16.181818181818183-6.818181818181818j),(13.636363636363637-8.545454545454545j),(13-8j)
2022-08-10 20:00:00,NBP,NBP01,,,,,(14.533333333333331-5.2j),(11.533333333333331-8.066666666666666j),(12.466666666666669-7.133333333333334j)
2022-08-10 20:05:00,NBP,NBP01,,,,,(12.666666666666666-5j),(10.266666666666667-7.266666666666667j),(10.466666666666669-6.133333333333334j)
2022-08-10 20:10:00,NBP,NBP01,,,,,(11.933333333333334-4.666666666666667j),(9.8-6.8j),(10.066666666666666-5.866666666666666j)
2022-08-10 20:15:00,NBP,NBP01,,,,,(14.2-6j),(11.533333333333331-7.8j),(11.533333333333331-7.4j)
2022-08-10 20:20:00,NBP,NBP01,,,,,(14.2-6.4j),(12.133333333333333-7.933333333333334j),(11.6-7.933333333333334j)
2022-08-10 20:25:00,NBP,NBP01,,,,,(11.733333333333333-5.4j),(10.066666666666666-7j),(9.333333333333334-6.066666666666666j)
2022-08-10 20:30:00,NBP,NBP01,,,,,(11.333333333333334-4j),(9.4-6.133333333333334j),(9.6-5.733333333333333j)
2022-08-10 20:35:00,NBP,NBP01,,,,,(12.866666666666667-5.466666666666667j),(11.333333333333334-7.8j),(11.4-6.466666666666667j)
2022-08-10 20:40:00,NBP,NBP01,,,,,(13.733333333333333-6.666666666666667j),(12.533333333333331-8.8j),(12.666666666666666-7.266666666666667j)
2022-08-10 20:45:00,NBP,NBP01,,,,,(13.133333333333333-6.933333333333334j),(11.6-8.266666666666667j),(11.466666666666669-7.466666666666667j)
2022-08-10 20:50:00,NBP,NBP01,,,,,(12.666666666666666-6.066666666666666j),(10.333333333333334-7.266666666666667j),(10.266666666666667-7.2j)
2022-08-10 20:55:00,NBP,NBP01,,,,,(13.2-5.266666666666667j),(10.333333333333334-7j),(11.066666666666666-7.066666666666666j)
2022-08-10 21:00:00,NBP,NBP01,,,,,(12.266666666666667-5j),(10.333333333333334-7.866666666666666j),(11.333333333333334-6.8j)
