# mh_co.csv run at 2023-03-28 01:00:00 EDT on 171 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
nsourcetosource,0.000000,3.275883,0.000000,0.125420,0.000000,0.130415
sourceton00,0.174449,-0.174737,0.229396,4.047401,0.201381,2.093497
n00tonB,0.022401,-0.531441,0.014500,4.185718,0.032864,2.092930
nBtonab7,0.022401,-0.531440,0.014500,4.185718,0.032864,2.092930
nab7tonab8,0.022401,-0.531440,0.014500,4.185718,0.032864,2.092930
nab8tonab9,0.022401,-0.531440,0.014500,4.185718,0.032864,2.092930
nab9tonab9_1,0.014934,-0.531439,0.009667,4.185721,0.023219,2.092997
nab9_1tonab9_2,0.014934,-0.531439,0.009667,4.185719,0.023219,2.092997
nab9_2tonab9_3,0.007467,-0.531441,0.004833,4.185723,0.013574,2.093157
nab9_3tonab9_4,0.007467,-0.531439,0.004833,4.185720,0.013574,2.093159
nab9_4tomab9_5,0.007467,-0.531440,0.004833,4.185720,0.013574,2.093160
nab9_2tonab9_6,0.007467,-0.531437,0.004833,4.185711,0.009645,2.092774
nab9_6tonab9_7,0.007467,-0.531437,0.004833,4.185719,0.009645,2.092773
nab9_7tonab9_8,0.007467,-0.531439,0.004833,4.185719,0.009645,2.092773
nab9_8tomab9_9,0.007467,-0.531439,0.004833,4.185720,0.009645,2.092771
nab9tonab9_10,0.007467,-0.531441,0.004833,4.185713,0.009645,2.092769
nab9_10tonab9_11,0.007467,-0.531440,0.004833,4.185715,0.009645,2.092770
nab9_11tonab9_12,0.007467,-0.531440,0.004833,4.185712,0.009645,2.092769
nab9_12tonab9_13,0.007467,-0.531440,0.004833,4.185712,0.009645,2.092769
nab9_13tonab9_14,0.007467,-0.531440,0.004833,4.185712,0.009645,2.092769
nab9_14tonab9_15,0.000000,-0.785398,0.000000,2.999696,0.000000,-0.785398
nab9_15tonab9_16,0.000000,0.430741,0.000000,2.356194,0.000000,3.926991
