# mh_co.csv run at 2023-03-28 01:00:00 EDT on 167 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
sourceton00,0.195597,-0.214736,0.243766,4.055605,0.230315,2.093405
n00tonB,0.029869,-0.531473,0.019333,4.185689,0.042509,2.092842
nBtonab7,0.029869,-0.531473,0.019333,4.185689,0.042509,2.092842
nab7tonab8,0.029869,-0.531473,0.019333,4.185689,0.042509,2.092842
nab8tonab9,0.029869,-0.531473,0.019333,4.185689,0.042509,2.092842
nab9tonab9_1,0.022402,-0.531484,0.014500,4.185679,0.032864,2.092863
nab9_1tonab9_2,0.022402,-0.531484,0.014500,4.185679,0.032864,2.092864
nab9_2tonab9_3,0.007467,-0.531440,0.004833,4.185724,0.013574,2.093162
nab9_3tonab9_4,0.007467,-0.531437,0.004833,4.185721,0.013574,2.093162
nab9_4tomab9_5,0.007467,-0.531438,0.004833,4.185721,0.013574,2.093162
nab9_2tonab9_6,0.014935,-0.531507,0.009667,4.185660,0.019290,2.092653
nab9_6tonab9_7,0.014935,-0.531507,0.009667,4.185662,0.019290,2.092654
nab9_7tonab9_8,0.014935,-0.531507,0.009667,4.185662,0.019290,2.092654
nab9_8tomab9_9,0.014935,-0.531508,0.009667,4.185662,0.019290,2.092654
nab9tonab9_10,0.007467,-0.531440,0.004833,4.185718,0.009645,2.092772
nab9_10tonab9_11,0.007467,-0.531441,0.004833,4.185718,0.009645,2.092772
nab9_11tonab9_12,0.007467,-0.531442,0.004833,4.185716,0.009645,2.092772
nab9_12tonab9_13,0.007467,-0.531442,0.004833,4.185716,0.009645,2.092772
nab9_13tonab9_14,0.007467,-0.531442,0.004833,4.185716,0.009645,2.092772
nab9_14tonab9_15,0.000000,-0.785398,0.000000,-0.321751,0.000000,3.926991
nab9_15tonab9_16,0.000000,4.091402,0.000000,0.000000,0.000000,-0.785398
nab9_16tomab9_17,0.000000,0.203158,0.000000,-1.367638,0.000000,-1.367638
nab9_14tonab9_18,0.007467,-0.531439,0.004833,4.185713,0.009645,2.092769
nab9_18tonab9_19,0.007467,-0.531439,0.004833,4.185712,0.009645,2.092769
nab9_19tonab9_20,0.007467,-0.531441,0.004833,4.185718,0.009645,2.092771
nab9_20tomab9_21,0.007467,-0.531437,0.004833,4.185722,0.009645,2.092774
n00tonA,0.160540,-0.142240,0.219826,4.041343,0.178161,2.093571
nAtonab1,0.029867,-0.531383,0.019333,4.185767,0.038578,2.092858
nab1onab2,0.029867,-0.531383,0.019333,4.185767,0.038578,2.092858
nab2tonab3,0.029867,-0.531383,0.019333,4.185767,0.038578,2.092858
nab3tonab4,0.029867,-0.531383,0.019333,4.185767,0.038578,2.092858
nab4tonab4_1,0.029867,-0.531383,0.019333,4.185767,0.038578,2.092858
nab4_1tonab4_2,0.007467,-0.531395,0.004833,4.185762,0.009645,2.092838
