# mh_vo.csv run at 2023-03-28 01:00:00 EDT on 167 powerflow objects (not all are nodes)
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
source,12470.562000,0.000000,12470.562000,4.188790,12470.562000,2.094395
n00,12470.562000,0.000000,12470.562000,4.188790,12470.562000,2.094395
nB,12470.562000,0.000000,12470.562000,4.188790,12470.562000,2.094395
nab7,12470.569378,0.000001,12470.560224,4.188791,12470.564494,2.094396
nab8,12470.576757,0.000001,12470.558449,4.188791,12470.566989,2.094397
nab9,12470.584135,0.000002,12470.556673,4.188792,12470.569483,2.094398
nab9_1,12470.589956,0.000003,12470.555075,4.188792,12470.571354,2.094399
nab9_2,12470.589956,0.000003,12470.555073,4.188792,12470.571351,2.094399
nab9_3,12470.589955,0.000003,12470.555073,4.188792,12470.571350,2.094399
nab9_4,12470.589955,0.000003,12470.555073,4.188792,12470.571349,2.094399
mab9_5,479.992184,-0.000068,480.015330,4.188732,480.005195,2.094230
lab9_5,479.992184,-0.000068,480.015330,4.188732,480.005195,2.094230
nab9_6,12470.593071,0.000003,12470.554719,4.188793,12470.572598,2.094399
nab9_7,12470.593070,0.000003,12470.554718,4.188793,12470.572597,2.094399
nab9_8,12470.593070,0.000003,12470.554717,4.188793,12470.572595,2.094399
mab9_9,207.983434,-0.000138,208.004021,4.188672,207.999183,2.094159
lab9_9,207.983434,-0.000138,208.004021,4.188672,207.999183,2.094159
nab9_10,12470.585693,0.000002,12470.556495,4.188792,12470.570107,2.094398
nab9_11,12470.585692,0.000002,12470.556495,4.188792,12470.570106,2.094398
nab9_12,12470.587250,0.000003,12470.556317,4.188792,12470.570729,2.094398
nab9_13,12470.588807,0.000003,12470.556139,4.188792,12470.571353,2.094399
nab9_14,12470.590364,0.000003,12470.555961,4.188793,12470.571976,2.094399
nab9_15,12470.590364,0.000003,12470.555961,4.188793,12470.571976,2.094399
nab9_16,12470.590364,0.000003,12470.555961,4.188793,12470.571976,2.094399
mab9_17,208.009847,0.000003,208.009273,4.188793,208.009541,2.094399
lab9_17,207.983434,-0.000138,208.004021,4.188672,207.999183,2.094159
nab9_18,12470.591921,0.000003,12470.555784,4.188793,12470.572600,2.094399
nab9_19,12470.591921,0.000003,12470.555783,4.188793,12470.572599,2.094399
nab9_20,12470.591921,0.000003,12470.555783,4.188793,12470.572598,2.094399
mab9_21,479.992259,-0.000067,480.015358,4.188733,480.010082,2.094279
lab9_21,479.992259,-0.000067,480.015358,4.188733,480.010082,2.094279
nA,12470.562000,0.000000,12470.562000,4.188790,12470.562000,2.094395
nab1,12470.561999,0.000000,12470.561998,4.188790,12470.561996,2.094395
nab2,12470.568227,0.000001,12470.561286,4.188791,12470.564490,2.094396
nab3,12470.574456,0.000001,12470.560575,4.188791,12470.566983,2.094397
nab4,12470.580684,0.000002,12470.559863,4.188792,12470.569477,2.094398
nab4_1,12470.586913,0.000003,12470.559151,4.188792,12470.571970,2.094399
nab4_2,12470.586913,0.000003,12470.559151,4.188792,12470.571970,2.094399
nab4_3,12470.586912,0.000003,12470.559151,4.188792,12470.571969,2.094399
mab4_4,480.007299,-0.000033,480.018499,4.188762,480.016026,2.094339
lab4_4,480.007299,-0.000033,480.018499,4.188762,480.016026,2.094339
nab4_5,12470.591584,0.000003,12470.558618,4.188793,12470.573841,2.094399
nab4_6,12470.591584,0.000003,12470.558617,4.188793,12470.573840,2.094399
nab4_7,12470.591584,0.000003,12470.558617,4.188793,12470.573839,2.094399
mab4_8,4160.144341,-0.000011,4160.175874,4.188781,4160.170668,2.094375
lab4_8,4160.144341,-0.000011,4160.175874,4.188781,4160.170668,2.094375
nab4_9,12470.594698,0.000004,12470.558262,4.188793,12470.575087,2.094400
nab4_10,12470.594698,0.000004,12470.558261,4.188793,12470.575087,2.094400
nab4_11,12470.594698,0.000004,12470.558261,4.188793,12470.575086,2.094400
mab4_12,480.012697,-0.000020,480.019473,4.188773,480.018143,2.094360
lab4_12,480.012697,-0.000020,480.019473,4.188773,480.018143,2.094360
nab4_13,12470.596256,0.000004,12470.558084,4.188793,12470.575711,2.094400
nab4_14,12470.596255,0.000004,12470.558083,4.188793,12470.575710,2.094400
nab4_15,12470.596255,0.000004,12470.558083,4.188793,12470.575709,2.094400
mab4_16,480.012757,-0.000020,480.019466,4.188773,480.018167,2.094360
lab4_16,480.012757,-0.000020,480.019466,4.188773,480.018167,2.094360
nF,12470.562000,0.000000,12470.562000,4.188790,12470.562000,2.094395
nef9,12470.561987,0.000000,12470.561983,4.188790,12470.561986,2.094395
nef8,12470.557287,0.000005,12470.565503,4.188794,12470.596170,2.094399
nef8_1,12470.557274,0.000005,12470.565486,4.188794,12470.596156,2.094399
nef8_2,12470.557268,0.000005,12470.565478,4.188794,12470.596149,2.094399
