time,building,meter,avgVoltage,currentA,currentB,currentC,powerA,powerB,powerC
2022-08-10 19:55:00,NBN,NBN01,,,,,(80.27272727272727+47.18181818181818j),(73.27272727272727+52.81818181818182j),(227+145.8181818181818j)
2022-08-10 20:00:00,NBN,NBN01,,,,,(79.53333333333333+46.4j),(76.66666666666667+49.06666666666667j),(233.13333333333333+142.73333333333332j)
2022-08-10 20:05:00,NBN,NBN01,,,,,(78.26666666666667+46.13333333333333j),(75.2+49.266666666666666j),(228.53333333333333+142.6j)
2022-08-10 20:10:00,NBN,NBN01,,,,,(76.53333333333333+45.46666666666667j),(69.93333333333334+52.86666666666667j),(214.26666666666668+144.06666666666666j)
2022-08-10 20:15:00,NBN,NBN01,,,,,(75.73333333333333+45.13333333333333j),(70.13333333333334+52.4j),(213.86666666666667+143.53333333333333j)
2022-08-10 20:20:00,NBN,NBN01,,,,,(75.13333333333334+44.66666666666666j),(69.26666666666667+50.333333333333336j),(212.06666666666663+139.8j)
2022-08-10 20:25:00,NBN,NBN01,,,,,(77.33333333333333+47.333333333333336j),(73.26666666666667+52.93333333333333j),(221.53333333333333+149.06666666666666j)
2022-08-10 20:30:00,NBN,NBN01,,,,,(75.46666666666667+45.46666666666667j),(71.4+51.06666666666667j),(216.4+143.26666666666668j)
2022-08-10 20:35:00,NBN,NBN01,,,,,(77.2+46.93333333333333j),(71.86666666666666+52.13333333333333j),(220.13333333333333+146.06666666666666j)
2022-08-10 20:40:00,NBN,NBN01,,,,,(74.73333333333333+44.73333333333333j),(69.93333333333334+49.86666666666667j),(213+140.06666666666666j)
2022-08-10 20:45:00,NBN,NBN01,,,,,(76.4+46.06666666666667j),(72.8+52.06666666666667j),(218.9333333333333+146.26666666666668j)
2022-08-10 20:50:00,NBN,NBN01,,,,,(74.93333333333334+44.46666666666667j),(71.06666666666666+50.333333333333336j),(214.46666666666667+140.86666666666667j)
2022-08-10 20:55:00,NBN,NBN01,,,,,(76.2+46.333333333333336j),(72.33333333333333+51.66666666666666j),(219.06666666666663+146j)
2022-08-10 21:00:00,NBN,NBN01,,,,,(75.46666666666667+46.46666666666667j),(71.13333333333334+50.4j),(217.66666666666663+143.73333333333332j)
2022-08-10 21:05:00,NBN,NBN01,,,,,(75.46666666666667+47j),(72.53333333333333+52.53333333333333j),(218+149.8j)
2022-08-10 21:10:00,NBN,NBN01,,,,,(74.93333333333334+45.2j),(72.8+51.333333333333336j),(217.2+145.93333333333334j)
2022-08-10 21:15:00,NBN,NBN01,,,,,(73.46666666666667+45.13333333333333j),(71.46666666666667+50.333333333333336j),(213.2+144.26666666666668j)
2022-08-10 21:20:00,NBN,NBN01,,,,,(74.33333333333333+45.8j),(72.8+50.73333333333333j),(216.66666666666663+146.53333333333333j)
2022-08-10 21:25:00,NBN,NBN01,,,,,(76.33333333333333+45.13333333333333j),(74+49.266666666666666j),(222.2+143.06666666666666j)
2022-08-10 21:30:00,NBN,NBN01,,,,,(74.33333333333333+44.53333333333333j),(71.8+49.6j),(215.06666666666663+142.33333333333334j)
2022-08-10 21:35:00,NBN,NBN01,,,,,(74+43.86666666666667j),(71.53333333333333+48.73333333333333j),(214.06666666666663+140.06666666666666j)
2022-08-10 21:40:00,NBN,NBN01,,,,,(76.46666666666667+46.266666666666666j),(74.2+51.2j),(221.8+147.2j)
2022-08-10 21:45:00,NBN,NBN01,,,,,(74.13333333333334+44.6j),(71.26666666666667+49.8j),(213.8+142.13333333333333j)
2022-08-10 21:50:00,NBN,NBN01,,,,,(72.46666666666667+43.86666666666667j),(69.8+47.66666666666666j),(210.13333333333333+137.6j)
2022-08-10 21:55:00,NBN,NBN01,,,,,(70.6+42.93333333333333j),(68.33333333333333+47.06666666666667j),(204.6+136.13333333333333j)
2022-08-10 22:00:00,NBN,NBN01,,,,,(70+42.266666666666666j),(67.53333333333333+45.93333333333333j),(202.66666666666663+133.26666666666668j)
