time,building,gld_object,property,complex_value,double_value
2022-08-24 14:30:00,main,msource,measured_voltage_A,(12470.562+1.9313438083104154e-13j),N/A
2022-08-24 14:30:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.823491468878j),N/A
2022-08-24 14:30:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-24 14:30:00,main,msource,measured_current_A,(-3.120016780668715e-13-4.215240798211024e-14j),N/A
2022-08-24 14:30:00,main,msource,measured_current_B,(2.912262587944543e-13+3.67182581919682e-14j),N/A
2022-08-24 14:30:00,main,msource,measured_current_C,(3.025659406472046e-13+3.968433694842504e-14j),N/A
2022-08-24 14:30:00,main,msource,measured_power_A,(2142.3508081010114+378.20475808433565j),N/A
2022-08-24 14:30:00,main,msource,measured_power_B,(2832.155362041394+403.1240032764417j),N/A
2022-08-24 14:30:00,main,msource,measured_power_C,(2511.331153334865+2.251284111033101j),N/A
2022-08-24 14:35:00,main,msource,measured_voltage_A,(12470.562000000002-9.947066149873147e-13j),N/A
2022-08-24 14:35:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.82349146888j),N/A
2022-08-24 14:35:00,main,msource,measured_voltage_C,(-6235.280999999996+10799.823491468876j),N/A
2022-08-24 14:35:00,main,msource,measured_current_A,(-4.1956987223141826e-12+1.0112098818962339e-12j),N/A
2022-08-24 14:35:00,main,msource,measured_current_B,(-1.0914478306770154e-12-4.2870162059264166e-12j),N/A
2022-08-24 14:35:00,main,msource,measured_current_C,(-1.2567180187094231e-12-1.6456458936563386e-12j),N/A
2022-08-24 14:35:00,main,msource,measured_power_A,(673.8241172274176+254.75720839764926j),N/A
2022-08-24 14:35:00,main,msource,measured_power_B,(1409.520578902933+424.7817153475484j),N/A
2022-08-24 14:35:00,main,msource,measured_power_C,(1083.5608450707207+104.20143225621422j),N/A
2022-08-24 14:40:00,main,msource,measured_voltage_A,(12470.562+8.279499004991552e-13j),N/A
2022-08-24 14:40:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.823491468878j),N/A
2022-08-24 14:40:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-24 14:40:00,main,msource,measured_current_A,(-1.3375234238435342e-12-1.8070362120102983e-13j),N/A
2022-08-24 14:40:00,main,msource,measured_current_B,(1.2484610505601678e-12+1.5740790472276275e-13j),N/A
2022-08-24 14:40:00,main,msource,measured_current_C,(1.2970732573629024e-12+1.701232203528134e-13j),N/A
2022-08-24 14:40:00,main,msource,measured_power_A,(675.1169369486842+255.24858904707352j),N/A
2022-08-24 14:40:00,main,msource,measured_power_B,(1409.5400047057633+426.83473010397614j),N/A
2022-08-24 14:40:00,main,msource,measured_power_C,(1084.9277128437957+106.85207372838681j),N/A
2022-08-24 14:45:00,main,msource,measured_voltage_A,(12470.562+1.9430950601596665e-13j),N/A
2022-08-24 14:45:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.823491468878j),N/A
2022-08-24 14:45:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-24 14:45:00,main,msource,measured_current_A,(-3.139000507339112e-13-4.240888409999186e-14j),N/A
2022-08-24 14:45:00,main,msource,measured_current_B,(2.92998223525686e-13+3.6941670252328975e-14j),N/A
2022-08-24 14:45:00,main,msource,measured_current_C,(3.044069016165834e-13+3.992579610030927e-14j),N/A
2022-08-24 14:45:00,main,msource,measured_power_A,(680.0955597767208+250.69282044650328j),N/A
2022-08-24 14:45:00,main,msource,measured_power_B,(1413.0673768909398+422.6781644871162j),N/A
2022-08-24 14:45:00,main,msource,measured_power_C,(1082.658899195959+96.65939257902494j),N/A
2022-08-24 14:50:00,main,msource,measured_voltage_A,(12470.562+1.2173303581578708e-13j),N/A
2022-08-24 14:50:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.823491468878j),N/A
2022-08-24 14:50:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-24 14:50:00,main,msource,measured_current_A,(-1.966553613461848e-13-2.6568757817889046e-14j),N/A
2022-08-24 14:50:00,main,msource,measured_current_B,(1.8356056772376065e-13+2.3143600949467872e-14j),N/A
2022-08-24 14:50:00,main,msource,measured_current_C,(1.907079947700518e-13+2.5013127079090943e-14j),N/A
2022-08-24 14:50:00,main,msource,measured_power_A,(689.146255855032+251.31423512450635j),N/A
2022-08-24 14:50:00,main,msource,measured_power_B,(1425.4901564764286+424.75362130524434j),N/A
2022-08-24 14:50:00,main,msource,measured_power_C,(1098.4239117675684+103.2616174802493j),N/A
2022-08-24 14:55:00,main,msource,measured_voltage_A,(12470.562+8.48726840712214e-14j),N/A
2022-08-24 14:55:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.823491468878j),N/A
2022-08-24 14:55:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-24 14:55:00,main,msource,measured_current_A,(-1.371087826948129e-13-1.852382776237355e-14j),N/A
2022-08-24 14:55:00,main,msource,measured_current_B,(1.2797904831625305e-13+1.613579681547603e-14j),N/A
2022-08-24 14:55:00,main,msource,measured_current_C,(1.3296225861374323e-13+1.7439236752704757e-14j),N/A
2022-08-24 14:55:00,main,msource,measured_power_A,(693.7429479288712+250.44317910260693j),N/A
2022-08-24 14:55:00,main,msource,measured_power_B,(1427.8235265276385+424.04679829640725j),N/A
2022-08-24 14:55:00,main,msource,measured_power_C,(1104.3005835527795+101.97091253325868j),N/A
2022-08-24 15:00:00,main,msource,measured_voltage_A,(12470.562+1.203525685130572e-13j),N/A
2022-08-24 15:00:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.823491468878j),N/A
2022-08-24 15:00:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-24 15:00:00,main,msource,measured_current_A,(-1.9442526583903132e-13-2.626746490100782e-14j),N/A
2022-08-24 15:00:00,main,msource,measured_current_B,(1.8147896875504155e-13+2.2881149724423952e-14j),N/A
2022-08-24 15:00:00,main,msource,measured_current_C,(1.885453431169079e-13+2.4729475202340205e-14j),N/A
2022-08-24 15:00:00,main,msource,measured_power_A,(689.3184120794699+248.04402360038472j),N/A
2022-08-24 15:00:00,main,msource,measured_power_B,(1423.499500327026+420.1754994088899j),N/A
2022-08-24 15:00:00,main,msource,measured_power_C,(1092.9914126225594+95.70309537126667j),N/A
2022-08-24 15:05:00,main,msource,measured_voltage_A,(12470.562+1.3620951973028815e-13j),N/A
2022-08-24 15:05:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.823491468878j),N/A
2022-08-24 15:05:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-24 15:05:00,main,msource,measured_current_A,(-2.2004160285532194e-13-2.972831259775156e-14j),N/A
2022-08-24 15:05:00,main,msource,measured_current_B,(2.0538957731168295e-13+2.5895836319458978e-14j),N/A
2022-08-24 15:05:00,main,msource,measured_current_C,(2.1338697587123102e-13+2.7987686362733415e-14j),N/A
2022-08-24 15:05:00,main,msource,measured_power_A,(687.3409659365134+254.99009446500753j),N/A
2022-08-24 15:05:00,main,msource,measured_power_B,(1421.4708920548692+425.72008699527834j),N/A
2022-08-24 15:05:00,main,msource,measured_power_C,(1104.798226118629+110.28482382948204j),N/A
2022-08-24 15:10:00,main,msource,measured_voltage_A,(12470.562+1.3169844491851918e-13j),N/A
2022-08-24 15:10:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.823491468878j),N/A
2022-08-24 15:10:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-24 15:10:00,main,msource,measured_current_A,(-2.1275412299233267e-13-2.874375114843687e-14j),N/A
2022-08-24 15:10:00,main,msource,measured_current_B,(1.9858735269004674e-13+2.5038201293788836e-14j),N/A
2022-08-24 15:10:00,main,msource,measured_current_C,(2.0631988824095128e-13+2.7060772096824425e-14j),N/A
2022-08-24 15:10:00,main,msource,measured_power_A,(687.903518409021+251.09279193459145j),N/A
2022-08-24 15:10:00,main,msource,measured_power_B,(1423.8115469336742+422.4645425851282j),N/A
2022-08-24 15:10:00,main,msource,measured_power_C,(1100.8167885361856+104.78101482477814j),N/A
2022-08-24 15:15:00,main,msource,measured_voltage_A,(12470.562+1.5760322358686285e-13j),N/A
2022-08-24 15:15:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.823491468878j),N/A
2022-08-24 15:15:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-24 15:15:00,main,msource,measured_current_A,(-2.546023655460225e-13-3.439758033418682e-14j),N/A
2022-08-24 15:15:00,main,msource,measured_current_B,(2.3764902438215166e-13+2.996315741738107e-14j),N/A
2022-08-24 15:15:00,main,msource,measured_current_C,(2.4690253174191254e-13+3.238356320644179e-14j),N/A
2022-08-24 15:15:00,main,msource,measured_power_A,(684.6730561398897+250.92885033989623j),N/A
2022-08-24 15:15:00,main,msource,measured_power_B,(1420.243403038798+424.013229605677j),N/A
2022-08-24 15:15:00,main,msource,measured_power_C,(1095.0217341435257+106.44663243843536j),N/A
2022-08-24 15:20:00,main,msource,measured_voltage_A,(12470.562+1.3812089150258822e-13j),N/A
2022-08-24 15:20:00,main,msource,measured_voltage_B,(-6235.280999999997-10799.823491468878j),N/A
2022-08-24 15:20:00,main,msource,measured_voltage_C,(-6235.280999999997+10799.823491468878j),N/A
2022-08-24 15:20:00,main,msource,measured_current_A,(-2.2312935552681017e-13-3.014547769494866e-14j),N/A
2022-08-24 15:20:00,main,msource,measured_current_B,(2.0827172417759616e-13+2.6259221864457056e-14j),N/A
2022-08-24 15:20:00,main,msource,measured_current_C,(2.163813469186025e-13+2.8380425972943062e-14j),N/A
2022-08-24 15:20:00,main,msource,measured_power_A,(687.1026019790892+254.65014695034085j),N/A
2022-08-24 15:20:00,main,msource,measured_power_B,(1423.165282310203+427.4588535897277j),N/A
2022-08-24 15:20:00,main,msource,measured_power_C,(1100.5257892607253+115.50584062919756j),N/A
2022-08-24 15:25:00,main,msource,measured_voltage_A,(12470.562+1.0214094257867738e-13j),N/A
