time,building,gld_object,property,complex_value,double_value,anomaly
2022-09-29 11:25:00,main,msource,measured_voltage_A,(12470.553654530098+0.2722472737637513j),N/A,0
2022-09-29 11:25:00,main,msource,measured_voltage_B,(-6235.128044510138-10799.925542220062j),N/A,0
2022-09-29 11:25:00,main,msource,measured_voltage_C,(-6235.5176528574475+10799.849022408487j),N/A,0
2022-09-29 11:25:00,main,msource,measured_current_A,(0.006437133311387733-0.003783664329071179j),N/A,0
2022-09-29 11:25:00,main,msource,measured_current_B,(-0.0024292876332765445-0.004178391463938169j),N/A,0
2022-09-29 11:25:00,main,msource,measured_current_C,(-0.004809271558769979+0.008359920684597455j),N/A,0
2022-09-29 11:25:00,main,msource,measured_power_A,(80.27358624872531+47.18614151840865j),N/A,0
2022-09-29 11:25:00,main,msource,measured_power_B,(60.27323614720435+0.1833197622800249j),N/A,0
2022-09-29 11:25:00,main,msource,measured_power_C,(120.27417893505776+0.1890262628166539j),N/A,0
2022-09-29 11:30:00,main,msource,measured_voltage_A,(12470.543504336441+0.10963327212601227j),N/A,0
2022-09-29 11:30:00,main,msource,measured_voltage_B,(-6235.2505814327815-10799.838785961469j),N/A,0
2022-09-29 11:30:00,main,msource,measured_voltage_C,(-6235.355775745816+10799.908849232168j),N/A,0
2022-09-29 11:30:00,main,msource,measured_current_A,(0.0031335797570641866-0.0014804458073336413j),N/A,0
2022-09-29 11:30:00,main,msource,measured_current_B,(-0.00191898834600579-0.0007083417585818097j),N/A,0
2022-09-29 11:30:00,main,msource,measured_current_C,(-0.00152618667925708+0.0018539321899879724j),N/A,0
2022-09-29 11:30:00,main,msource,measured_power_A,(39.07728037865889+18.462307390768892j),N/A,0
2022-09-29 11:30:00,main,msource,measured_power_B,(19.615349998243317+16.30807640695103j),N/A,0
2022-09-29 11:30:00,main,msource,measured_power_C,(29.538615589899436-4.922750234206202j),N/A,0
2022-09-29 11:35:00,main,msource,measured_voltage_A,(12470.543385053876+0.10971907756072168j),N/A,0
2022-09-29 11:35:00,main,msource,measured_voltage_B,(-6235.250767457614-10799.838711584773j),N/A,0
2022-09-29 11:35:00,main,msource,measured_voltage_C,(-6235.355594912194+10799.908753914773j),N/A,0
2022-09-29 11:35:00,main,msource,measured_current_A,(0.0031388532657772306-0.0014606172622777525j),N/A,0
2022-09-29 11:35:00,main,msource,measured_current_B,(-0.0019084291125182062-0.0006706795829813927j),N/A,0
2022-09-29 11:35:00,main,msource,measured_current_C,(-0.001515700205345638+0.0018233822629554197j),N/A,0
2022-09-29 11:35:00,main,msource,measured_power_A,(39.14304557261431+18.215035330278248j),N/A,0
