time,building,gld_object,property,complex_value,double_value
2022-08-10 19:55:00,R1,n125,voltage_A,(12470.000000000186-1.4481198702095855e-08j),N/A
2022-08-10 19:55:00,R1,n125,voltage_B,(-6235.000000009852-10799.33678522863j),N/A
2022-08-10 19:55:00,R1,n125,voltage_C,(-6235.000000010672+10799.336785192807j),N/A
2022-08-10 19:55:00,R1,n125,current_A,0j,N/A
2022-08-10 19:55:00,R1,n125,current_B,0j,N/A
2022-08-10 19:55:00,R1,n125,current_C,0j,N/A
2022-08-10 19:55:00,R1,n125,power_A,0j,N/A
2022-08-10 19:55:00,R1,n125,power_B,0j,N/A
2022-08-10 19:55:00,R1,n125,power_C,0j,N/A
2022-08-10 19:55:00,R1,n125,maximum_voltage_error,N/A,0.01247
2022-08-10 19:55:00,R1,l131,measured_voltage_A,(480.00000000008293-5.993873143921885e-10j),N/A
2022-08-10 19:55:00,R1,l131,measured_voltage_B,(-240.0000000003301-415.6921938179451j),N/A
2022-08-10 19:55:00,R1,l131,measured_voltage_C,(-240.00000000043576+415.6921938165023j),N/A
2022-08-10 19:55:00,R1,l131,constant_power_A,0j,N/A
2022-08-10 19:55:00,R1,l131,constant_power_B,0j,N/A
2022-08-10 19:55:00,R1,l131,constant_power_C,0j,N/A
2022-08-10 19:55:00,R1,l131,constant_impedance_A,0j,N/A
2022-08-10 19:55:00,R1,l131,constant_impedance_B,0j,N/A
2022-08-10 19:55:00,R1,l131,constant_impedance_C,0j,N/A
2022-08-10 19:55:00,R1,l131,constant_current_A,0j,N/A
2022-08-10 19:55:00,R1,l131,constant_current_B,0j,N/A
2022-08-10 19:55:00,R1,l131,constant_current_C,0j,N/A
2022-08-10 19:55:00,R1,l131,power_pf_A,N/A,1.0
2022-08-10 19:55:00,R1,l131,power_pf_B,N/A,1.0
2022-08-10 19:55:00,R1,l131,power_pf_C,N/A,1.0
2022-08-10 19:55:00,R1,m_t11,measured_real_energy,N/A,0.0
2022-08-10 19:55:00,R1,m_t11,measured_reactive_energy,N/A,0.0
2022-08-10 19:55:00,R1,m_t11,measured_power,0j,N/A
2022-08-10 19:55:00,R1,m_t11,measured_real_power,N/A,0.0
2022-08-10 19:55:00,R1,m_t11,measured_reactive_power,N/A,0.0
2022-08-10 19:55:00,R1,m_t11,measured_voltage_A,(480.00000000008293-5.993873143921885e-10j),N/A
2022-08-10 19:55:00,R1,m_t11,measured_voltage_B,(-240.00000000033003-415.69219381794517j),N/A
2022-08-10 19:55:00,R1,m_t11,measured_voltage_C,(-240.00000000043565+415.69219381650237j),N/A
2022-08-10 19:55:00,R1,m_t11,measured_current_A,0j,N/A
2022-08-10 19:55:00,R1,m_t11,measured_current_B,0j,N/A
2022-08-10 19:55:00,R1,m_t11,measured_current_C,0j,N/A
2022-08-10 19:55:00,R1,m_t11,monthly_bill,N/A,0.0
2022-08-10 19:55:00,R1,m_t11,monthly_energy,N/A,0.0
2022-08-10 19:55:00,R1,s_01,measured_current_A,0j,N/A
2022-08-10 20:00:00,R1,n125,voltage_A,(12210.518183651464+0.00829865148301259j),N/A
2022-08-10 20:00:00,R1,n125,voltage_B,(-6105.2438311346195-10574.609216445859j),N/A
2022-08-10 20:00:00,R1,n125,voltage_C,(-6105.2615498577925+10574.610323394281j),N/A
2022-08-10 20:00:00,R1,n125,current_A,0j,N/A
2022-08-10 20:00:00,R1,n125,current_B,0j,N/A
2022-08-10 20:00:00,R1,n125,current_C,0j,N/A
2022-08-10 20:00:00,R1,n125,power_A,0j,N/A
2022-08-10 20:00:00,R1,n125,power_B,0j,N/A
2022-08-10 20:00:00,R1,n125,power_C,0j,N/A
2022-08-10 20:00:00,R1,n125,maximum_voltage_error,N/A,0.01247
2022-08-10 20:00:00,R1,l131,measured_voltage_A,(470.0015113024242-0.011195345670322938j),N/A
2022-08-10 20:00:00,R1,l131,measured_voltage_B,(-235.01662420687467-407.0318778661396j),N/A
2022-08-10 20:00:00,R1,l131,measured_voltage_C,(-234.96334665929808+407.0560717128101j),N/A
2022-08-10 20:00:00,R1,l131,constant_power_A,(80.27272727272727+47.18181818181818j),N/A
2022-08-10 20:00:00,R1,l131,constant_power_B,(90.32526165233058+0j),N/A
2022-08-10 20:00:00,R1,l131,constant_power_C,(269.7998186596135+0j),N/A
2022-08-10 20:00:00,R1,l131,constant_impedance_A,0j,N/A
2022-08-10 20:00:00,R1,l131,constant_impedance_B,0j,N/A
2022-08-10 20:00:00,R1,l131,constant_impedance_C,0j,N/A
2022-08-10 20:00:00,R1,l131,constant_current_A,0j,N/A
2022-08-10 20:00:00,R1,l131,constant_current_B,0j,N/A
2022-08-10 20:00:00,R1,l131,constant_current_C,0j,N/A
2022-08-10 20:00:00,R1,l131,power_pf_A,N/A,1.0
2022-08-10 20:00:00,R1,l131,power_pf_B,N/A,1.0
2022-08-10 20:00:00,R1,l131,power_pf_C,N/A,1.0
2022-08-10 20:00:00,R1,m_t11,measured_real_energy,N/A,0.0
2022-08-10 20:00:00,R1,m_t11,measured_reactive_energy,N/A,0.0
2022-08-10 20:00:00,R1,m_t11,measured_power,(440.39780758467134+47.181818181818194j),N/A
2022-08-10 20:00:00,R1,m_t11,measured_real_power,N/A,440.39780758467134
2022-08-10 20:00:00,R1,m_t11,measured_reactive_power,N/A,47.181818181818194
2022-08-10 20:00:00,R1,m_t11,measured_voltage_A,(470.0015113024242-0.011195345670322937j),N/A
2022-08-10 20:00:00,R1,m_t11,measured_voltage_B,(-235.01662420687464-407.0318778661396j),N/A
2022-08-10 20:00:00,R1,m_t11,measured_voltage_C,(-234.96334665929805+407.0560717128101j),N/A
2022-08-10 20:00:00,R1,m_t11,measured_current_A,(0.17079009627628655-0.10039059258603641j),N/A
2022-08-10 20:00:00,R1,m_t11,measured_current_B,(-0.09609412436011947-0.16642810704221508j),N/A
2022-08-10 20:00:00,R1,m_t11,measured_current_C,(-0.28697317295183633+0.4971591277090483j),N/A
2022-08-10 20:00:00,R1,m_t11,monthly_bill,N/A,0.0
2022-08-10 20:00:00,R1,m_t11,monthly_energy,N/A,0.0
2022-08-10 20:00:00,R1,s_01,measured_current_A,0j,N/A
2022-08-10 20:05:00,R1,n125,voltage_A,(12212.2375435371+0.008390835218507083j),N/A
2022-08-10 20:05:00,R1,n125,voltage_B,(-6106.1032142987715-10576.097993979842j),N/A
2022-08-10 20:05:00,R1,n125,voltage_C,(-6106.121145092304+10576.099268495189j),N/A
2022-08-10 20:05:00,R1,n125,current_A,0j,N/A
2022-08-10 20:05:00,R1,n125,current_B,0j,N/A
2022-08-10 20:05:00,R1,n125,current_C,0j,N/A
2022-08-10 20:05:00,R1,n125,power_A,0j,N/A
2022-08-10 20:05:00,R1,n125,power_B,0j,N/A
2022-08-10 20:05:00,R1,n125,power_C,0j,N/A
2022-08-10 20:05:00,R1,n125,maximum_voltage_error,N/A,0.01247
2022-08-10 20:05:00,R1,l131,measured_voltage_A,(470.0678476488527-0.011095851466202993j),N/A
2022-08-10 20:05:00,R1,l131,measured_voltage_B,(-235.049789291807-407.0891084230513j),N/A
2022-08-10 20:05:00,R1,l131,measured_voltage_C,(-234.99587748911813+407.1135690405914j),N/A
2022-08-10 20:05:00,R1,l131,constant_power_A,(79.53333333333333+46.4j),N/A
2022-08-10 20:05:00,R1,l131,constant_power_B,(91.02370875522243+0j),N/A
2022-08-10 20:05:00,R1,l131,constant_power_C,(273.3568282585155+0j),N/A
2022-08-10 20:05:00,R1,l131,constant_impedance_A,0j,N/A
2022-08-10 20:05:00,R1,l131,constant_impedance_B,0j,N/A
2022-08-10 20:05:00,R1,l131,constant_impedance_C,0j,N/A
2022-08-10 20:05:00,R1,l131,constant_current_A,0j,N/A
2022-08-10 20:05:00,R1,l131,constant_current_B,0j,N/A
2022-08-10 20:05:00,R1,l131,constant_current_C,0j,N/A
2022-08-10 20:05:00,R1,l131,power_pf_A,N/A,1.0
2022-08-10 20:05:00,R1,l131,power_pf_B,N/A,1.0
2022-08-10 20:05:00,R1,l131,power_pf_C,N/A,1.0
2022-08-10 20:05:00,R1,m_t11,measured_real_energy,N/A,0.12233272432907537
2022-08-10 20:05:00,R1,m_t11,measured_reactive_energy,N/A,0.013106060606060609
2022-08-10 20:05:00,R1,m_t11,measured_power,(443.9138703470713+46.400000000000006j),N/A
2022-08-10 20:05:00,R1,m_t11,measured_real_power,N/A,443.9138703470713
2022-08-10 20:05:00,R1,m_t11,measured_reactive_power,N/A,46.400000000000006
2022-08-10 20:05:00,R1,m_t11,measured_voltage_A,(470.0678476488527-0.011095851466202993j),N/A
2022-08-10 20:05:00,R1,m_t11,measured_voltage_B,(-235.04978929180686-407.0891084230514j),N/A
2022-08-10 20:05:00,R1,m_t11,measured_voltage_C,(-234.99587748911824+407.11356904059136j),N/A
2022-08-10 20:05:00,R1,m_t11,measured_current_A,(0.16919310355876402-0.09871314869467321j),N/A
2022-08-10 20:05:00,R1,m_t11,measured_current_B,(-0.09682359065272812-0.16769140407185848j),N/A
2022-08-10 20:05:00,R1,m_t11,measured_current_C,(-0.29071512281272155+0.5036431808376785j),N/A
2022-08-10 20:05:00,R1,m_t11,monthly_bill,N/A,0.0
2022-08-10 20:05:00,R1,m_t11,monthly_energy,N/A,0.00012233272432907538
2022-08-10 20:05:00,R1,s_01,measured_current_A,0j,N/A
2022-08-10 20:10:00,R1,n125,voltage_A,(12207.503132272745+0.008278402792129387j),N/A
2022-08-10 20:10:00,R1,n125,voltage_B,(-6103.736254970439-10571.998013921166j),N/A
2022-08-10 20:10:00,R1,n125,voltage_C,(-6103.753939617767+10571.99929397491j),N/A
2022-08-10 20:10:00,R1,n125,current_A,0j,N/A
2022-08-10 20:10:00,R1,n125,current_B,0j,N/A
2022-08-10 20:10:00,R1,n125,current_C,0j,N/A
2022-08-10 20:10:00,R1,n125,power_A,0j,N/A
2022-08-10 20:10:00,R1,n125,power_B,0j,N/A
2022-08-10 20:10:00,R1,n125,power_C,0j,N/A
2022-08-10 20:10:00,R1,n125,maximum_voltage_error,N/A,0.01247
2022-08-10 20:10:00,R1,l131,measured_voltage_A,(469.8856912543874-0.010906725468040156j),N/A
2022-08-10 20:10:00,R1,l131,measured_voltage_B,(-234.95854398048562-406.9314110158492j),N/A
2022-08-10 20:10:00,R1,l131,measured_voltage_C,(-234.9053720623286+406.9555481421647j),N/A
2022-08-10 20:10:00,R1,l131,constant_power_A,(78.26666666666667+46.13333333333333j),N/A
2022-08-10 20:10:00,R1,l131,constant_power_B,(89.90130390847757+0j),N/A
2022-08-10 20:10:00,R1,l131,constant_power_C,(269.3738005902661+0j),N/A
2022-08-10 20:10:00,R1,l131,constant_impedance_A,0j,N/A
2022-08-10 20:10:00,R1,l131,constant_impedance_B,0j,N/A
2022-08-10 20:10:00,R1,l131,constant_impedance_C,0j,N/A
2022-08-10 20:10:00,R1,l131,constant_current_A,0j,N/A
2022-08-10 20:10:00,R1,l131,constant_current_B,0j,N/A
2022-08-10 20:10:00,R1,l131,constant_current_C,0j,N/A
2022-08-10 20:10:00,R1,l131,power_pf_A,N/A,1.0
2022-08-10 20:10:00,R1,l131,power_pf_B,N/A,1.0
2022-08-10 20:10:00,R1,l131,power_pf_C,N/A,1.0
2022-08-10 20:10:00,R1,m_t11,measured_real_energy,N/A,0.2456421327588174
2022-08-10 20:10:00,R1,m_t11,measured_reactive_energy,N/A,0.0259949494949495
