time,building,gld_object,property,complex_value,double_value,anomaly
2022-09-15 16:45:00,main,msource,measured_voltage_A,(12470.553654530098+0.2722472737637513j),N/A,0
2022-09-15 16:45:00,main,msource,measured_voltage_B,(-6235.128044510138-10799.925542220062j),N/A,0
2022-09-15 16:45:00,main,msource,measured_voltage_C,(-6235.5176528574475+10799.849022408487j),N/A,0
2022-09-15 16:45:00,main,msource,measured_current_A,(0.006437133311387733-0.003783664329071179j),N/A,0
2022-09-15 16:45:00,main,msource,measured_current_B,(-0.0024292876332765445-0.004178391463938169j),N/A,0
2022-09-15 16:45:00,main,msource,measured_current_C,(-0.004809271558769979+0.008359920684597455j),N/A,0
2022-09-15 16:45:00,main,msource,measured_power_A,(80.27358624872531+47.18614151840865j),N/A,0
2022-09-15 16:45:00,main,msource,measured_power_B,(60.27323614720435+0.1833197622800249j),N/A,0
2022-09-15 16:45:00,main,msource,measured_power_C,(120.27417893505776+0.1890262628166539j),N/A,0
2022-09-15 16:50:00,main,msource,measured_voltage_A,(12470.549413279929+0.11279085757244875j),N/A,1
2022-09-15 16:50:00,main,msource,measured_voltage_B,(-6235.243680072397-10799.843287251724j),N/A,1
2022-09-15 16:50:00,main,msource,measured_voltage_C,(-6235.359721017942+10799.908754475584j),N/A,1
2022-09-15 16:50:00,main,msource,measured_current_A,(0.004052262367743031-0.001443467765177564j),N/A,1
2022-09-15 16:50:00,main,msource,measured_current_B,(-0.002522065187804401-0.0015562909538857639j),N/A,1
2022-09-15 16:50:00,main,msource,measured_current_C,(-0.0019361414160812274+0.0025303506845375523j),N/A,1
2022-09-15 16:50:00,main,msource,measured_power_A,(50.533775282547076+18.001293150271128j),N/A,1
2022-09-15 16:50:00,main,msource,measured_power_B,(32.53338943432175+17.534055453950565j),N/A,1
2022-09-15 16:50:00,main,msource,measured_power_C,(39.400094709857925-5.13250389102277j),N/A,1
2022-09-15 16:55:00,main,msource,measured_voltage_A,(12470.548735901735+0.10947843333476535j),N/A,1
2022-09-15 16:55:00,main,msource,measured_voltage_B,(-6235.247302117103-10799.842536300503j),N/A,1
2022-09-15 16:55:00,main,msource,measured_voltage_C,(-6235.357056356412+10799.910341345596j),N/A,1
2022-09-15 16:55:00,main,msource,measured_current_A,(0.0021865287712363735-0.002020782456785275j),N/A,1
2022-09-15 16:55:00,main,msource,measured_current_B,(-0.0020816787582589313+0.00039316546462941915j),N/A,1
2022-09-15 16:55:00,main,msource,measured_current_C,(-0.0001659191184444353+0.0013671979104401544j),N/A,1
2022-09-15 16:55:00,main,msource,measured_power_A,(27.26699237205705+25.20050548974033j),N/A,1
2022-09-15 16:55:00,main,msource,measured_power_B,(8.73365675259933+24.933286702974222j),N/A,1
2022-09-15 16:55:00,main,msource,measured_power_C,(15.800179797605658+6.733055535183756j),N/A,1
2022-09-15 17:00:00,main,msource,measured_voltage_A,(12470.54944242023+0.10985897880864375j),N/A,1
2022-09-15 17:00:00,main,msource,measured_voltage_B,(-6235.246065157734-10799.84283212474j),N/A,1
2022-09-15 17:00:00,main,msource,measured_voltage_C,(-6235.357702631279+10799.910498727575j),N/A,1
2022-09-15 17:00:00,main,msource,measured_current_A,(0.0022239112290600715-0.001940585439563769j),N/A,1
2022-09-15 17:00:00,main,msource,measured_current_B,(-0.0021116738935234025+0.00021299456420820206j),N/A,1
2022-09-15 17:00:00,main,msource,measured_current_C,(-0.00016894773580133915+0.0014580291463062167j),N/A,1
2022-09-15 17:00:00,main,msource,measured_power_A,(27.733181746812484+24.20041098793736j),N/A,1
2022-09-15 17:00:00,main,msource,measured_power_B,(10.866498517942624+24.133819681132834j),N/A,1
2022-09-15 17:00:00,main,msource,measured_power_C,(16.80003385041431+7.266712842464241j),N/A,1
2022-09-15 17:05:00,main,msource,measured_voltage_A,(12470.54937482107+0.10962030065245514j),N/A,1
2022-09-15 17:05:00,main,msource,measured_voltage_B,(-6235.2466100894035-10799.842793846825j),N/A,1
2022-09-15 17:05:00,main,msource,measured_voltage_C,(-6235.357377381948+10799.91040050407j),N/A,1
2022-09-15 17:05:00,main,msource,measured_current_A,(0.002191846843052625-0.00197269499971342j),N/A,1
2022-09-15 17:05:00,main,msource,measured_current_B,(-0.002056967787211761+0.00028629074222408235j),N/A,1
2022-09-15 17:05:00,main,msource,measured_current_C,(-0.00020972038328181952+0.0013789485819870606j),N/A,1
2022-09-15 17:05:00,main,msource,measured_power_A,(27.333318030914484+24.600830666298762j),N/A,1
2022-09-15 17:05:00,main,msource,measured_power_B,(9.73380641292142+24.000022113846672j),N/A,1
2022-09-15 17:05:00,main,msource,measured_power_C,(16.200202671446057+6.333275865120371j),N/A,1
2022-09-15 17:10:00,main,msource,measured_voltage_A,(12470.54931657933+0.10938888983525527j),N/A,1
2022-09-15 17:10:00,main,msource,measured_voltage_B,(-6235.246837327239-10799.842927984824j),N/A,1
2022-09-15 17:10:00,main,msource,measured_voltage_C,(-6235.357278423366+10799.910553121303j),N/A,1
2022-09-15 17:10:00,main,msource,measured_current_A,(0.002175803388015929-0.0020100934533529013j),N/A,1
2022-09-15 17:10:00,main,msource,measured_current_B,(-0.002024880814133212+0.0003418790583964437j),N/A,1
2022-09-15 17:10:00,main,msource,measured_current_C,(-0.00018998434825334698+0.00140887095767539j),N/A,1
2022-09-15 17:10:00,main,msource,measured_power_A,(27.13324357154171+25.067207549687726j),N/A,1
2022-09-15 17:10:00,main,msource,measured_power_B,(8.93339156123977+24.00009505814356j),N/A,1
2022-09-15 17:10:00,main,msource,measured_power_C,(16.400300612452586+6.732999812671346j),N/A,1
2022-09-15 17:15:00,main,msource,measured_voltage_A,(12470.549228188112+0.10966513343899348j),N/A,1
2022-09-15 17:15:00,main,msource,measured_voltage_B,(-6235.246454606815-10799.842936117337j),N/A,1
2022-09-15 17:15:00,main,msource,measured_voltage_C,(-6235.357480788204+10799.910523801114j),N/A,1
2022-09-15 17:15:00,main,msource,measured_current_A,(0.002175824228012324-0.001972679491424323j),N/A,1
2022-09-15 17:15:00,main,msource,measured_current_B,(-0.0020720926841022447+0.00031358467822428793j),N/A,1
2022-09-15 17:15:00,main,msource,measured_current_C,(-0.00015466866898350418+0.0013798671716358513j),N/A,1
2022-09-15 17:15:00,main,msource,measured_power_A,(27.133506813152422+24.600635321298412j),N/A,1
2022-09-15 17:15:00,main,msource,measured_power_B,(9.533343290170036+24.333553290499047j),N/A,1
2022-09-15 17:15:00,main,msource,measured_power_C,(15.866856430587555+6.933557305296409j),N/A,1
2022-09-15 17:20:00,main,msource,measured_voltage_A,(12470.548855712917+0.1099190418756219j),N/A,1
2022-09-15 17:20:00,main,msource,measured_voltage_B,(-6235.246425394892-10799.842311826133j),N/A,1
2022-09-15 17:20:00,main,msource,measured_voltage_C,(-6235.357654348889+10799.910497962597j),N/A,1
2022-09-15 17:20:00,main,msource,measured_current_A,(0.002213254586963531-0.0019619793907577066j),N/A,1
2022-09-15 17:20:00,main,msource,measured_current_B,(-0.0020936749933753163+0.00023346728994511068j),N/A,1
2022-09-15 17:20:00,main,msource,measured_current_C,(-0.000143118086270988+0.0014667602954432368j),N/A,1
2022-09-15 17:20:00,main,msource,measured_power_A,(27.600283797964615+24.46720312516947j),N/A,1
2022-09-15 17:20:00,main,msource,measured_power_B,(10.533169602005529+24.06708586574392j),N/A,1
2022-09-15 17:20:00,main,msource,measured_power_C,(16.733272367457705+7.600112512920665j),N/A,1
2022-09-15 17:25:00,main,msource,measured_voltage_A,(12470.549868596143+0.10976480744037143j),N/A,1
2022-09-15 17:25:00,main,msource,measured_voltage_B,(-6235.246107549013-10799.84301153622j),N/A,1
2022-09-15 17:25:00,main,msource,measured_voltage_C,(-6235.357603337517+10799.910441436465j),N/A,1
2022-09-15 17:25:00,main,msource,measured_current_A,(0.002218578840224028-0.002010086274789602j),N/A,1
2022-09-15 17:25:00,main,msource,measured_current_B,(-0.0020426978153409436+0.0003645163815235719j),N/A,1
2022-09-15 17:25:00,main,msource,measured_current_C,(-0.00019314938981551677+0.0013823500921716914j),N/A,1
2022-09-15 17:25:00,main,msource,measured_power_A,(27.666677427693045+25.06712465182357j),N/A,1
2022-09-15 17:25:00,main,msource,measured_power_B,(8.800003906415672+24.333665074722898j),N/A,1
2022-09-15 17:25:00,main,msource,measured_power_C,(16.133612710531892+6.5334510458713915j),N/A,1
2022-09-15 17:30:00,main,msource,measured_voltage_A,(12470.549664852508+0.10987765049272379j),N/A,1
2022-09-15 17:30:00,main,msource,measured_voltage_B,(-6235.246088651863-10799.842902945358j),N/A,1
2022-09-15 17:30:00,main,msource,measured_voltage_C,(-6235.357816043843+10799.910530051575j),N/A,1
2022-09-15 17:30:00,main,msource,measured_current_A,(0.002207911471985291-0.002004730355609219j),N/A,1
2022-09-15 17:30:00,main,msource,measured_current_B,(-0.002081360435113311+0.0003189416020177305j),N/A,1
2022-09-15 17:30:00,main,msource,measured_current_C,(-0.00015808836906217039+0.0013964199752081186j),N/A,1
2022-09-15 17:30:00,main,msource,measured_power_A,(27.533649391928833+25.00033206438723j),N/A,1
2022-09-15 17:30:00,main,msource,measured_power_B,(9.533275315109801+24.467045100119165j),N/A,1
2022-09-15 17:30:00,main,msource,measured_power_C,(16.066948342281947+6.999837965180477j),N/A,1
2022-09-15 17:35:00,main,msource,measured_voltage_A,(12470.549654931263+0.1101095152789228j),N/A,1
2022-09-15 17:35:00,main,msource,measured_voltage_B,(-6235.245645499324-10799.84283836298j),N/A,1
2022-09-15 17:35:00,main,msource,measured_voltage_C,(-6235.358128790397+10799.91054294342j),N/A,1
2022-09-15 17:35:00,main,msource,measured_current_A,(0.002266703351960775-0.001929899274000224j),N/A,1
2022-09-15 17:35:00,main,msource,measured_current_B,(-0.0021678170014638454+0.00011574229574762285j),N/A,1
2022-09-15 17:35:00,main,msource,measured_current_C,(-0.00014134457160253078+0.0015171735867625102j),N/A,1
2022-09-15 17:35:00,main,msource,measured_power_A,(28.26682420335238+24.067154311042955j),N/A,1
2022-09-15 17:35:00,main,msource,measured_power_B,(12.26687291479119+24.133764563701277j),N/A,1
2022-09-15 17:35:00,main,msource,measured_power_C,(17.266673038653956+7.933611927967708j),N/A,1
2022-09-15 17:40:00,main,msource,measured_voltage_A,(12470.54861138945+0.11012534720950018j),N/A,1
2022-09-15 17:40:00,main,msource,measured_voltage_B,(-6235.246537927389-10799.84208024618j),N/A,1
2022-09-15 17:40:00,main,msource,measured_voltage_C,(-6235.35782789503+10799.910267932548j),N/A,1
2022-09-15 17:40:00,main,msource,measured_current_A,(0.0022506790060827786-0.0019887081521841043j),N/A,1
2022-09-15 17:40:00,main,msource,measured_current_B,(-0.002103661245200783+0.00022686435841023922j),N/A,1
2022-09-15 17:40:00,main,msource,measured_current_C,(-0.00017358615878038108+0.0014553552318830043j),N/A,1
2022-09-15 17:40:00,main,msource,measured_power_A,(28.066982946813223+24.80052954248536j),N/A,1
2022-09-15 17:40:00,main,msource,measured_power_B,(10.66674725164325+24.133764443859057j),N/A,1
2022-09-15 17:40:00,main,msource,measured_power_C,(16.800077726268093+7.199945698906469j),N/A,1
2022-09-15 17:45:00,main,msource,measured_voltage_A,(12470.549516584235+0.11021652126176594j),N/A,1
2022-09-15 17:45:00,main,msource,measured_voltage_B,(-6235.24581069284-10799.842522908679j),N/A,1
2022-09-15 17:45:00,main,msource,measured_voltage_C,(-6235.358064199684+10799.910524890929j),N/A,1
2022-09-15 17:45:00,main,msource,measured_current_A,(0.002197187832092551-0.002010122961831895j),N/A,1
2022-09-15 17:45:00,main,msource,measured_current_B,(-0.002125871105818078+0.00029524017008952796j),N/A,1
2022-09-15 17:45:00,main,msource,measured_current_C,(-0.00015679688658565283+0.0014156466932035983j),N/A,1
2022-09-15 17:45:00,main,msource,measured_power_A,(27.39991810858636+25.067580096347022j),N/A,1
2022-09-15 17:45:00,main,msource,measured_power_B,(10.06678156322145+24.799968200535943j),N/A,1
2022-09-15 17:45:00,main,msource,measured_power_C,(16.266542352669834+7.133671678818151j),N/A,1
2022-09-15 17:50:00,main,msource,measured_voltage_A,(12470.549482230386+0.10982702817658357j),N/A,1
2022-09-15 17:50:00,main,msource,measured_voltage_B,(-6235.24588429073-10799.84292813262j),N/A,1
2022-09-15 17:50:00,main,msource,measured_voltage_C,(-6235.358086379467+10799.910695959978j),N/A,1
2022-09-15 17:50:00,main,msource,measured_current_A,(0.0022346149257390646-0.0019726804516284613j),N/A,1
2022-09-15 17:50:00,main,msource,measured_current_B,(-0.0021462165022967383+0.00019587787392083555j),N/A,1
2022-09-15 17:50:00,main,msource,measured_current_C,(-0.00013651515473611653+0.0014767465472687036j),N/A,1
2022-09-15 17:50:00,main,msource,measured_power_A,(27.866659351528043+24.600654605777727j),N/A,1
2022-09-15 17:50:00,main,msource,measured_power_B,(11.266737341300995+24.400147821759468j),N/A,1
2022-09-15 17:50:00,main,msource,measured_power_C,(16.799951705066427+7.733692045249652j),N/A,1
2022-09-15 17:55:00,main,msource,measured_voltage_A,(12470.549495418561+0.10962545668405622j),N/A,1
2022-09-15 17:55:00,main,msource,measured_voltage_B,(-6235.246080658182-10799.843472400365j),N/A,1
2022-09-15 17:55:00,main,msource,measured_voltage_C,(-6235.357806712255+10799.91079726457j),N/A,1
2022-09-15 17:55:00,main,msource,measured_current_A,(0.002256008644063723-0.0019352480526424465j),N/A,1
2022-09-15 17:55:00,main,msource,measured_current_B,(-0.0022014501155354083+0.00015370460459962487j),N/A,1
2022-09-15 17:55:00,main,msource,measured_current_C,(-0.00011678821465466172+0.0015066598280100152j),N/A,1
2022-09-15 17:55:00,main,msource,measured_power_A,(28.133455305437206+24.133853942367903j),N/A,1
2022-09-15 17:55:00,main,msource,measured_power_B,(12.066597533993518+24.733702693489036j),N/A,1
2022-09-15 17:55:00,main,msource,measured_power_C,(17.000008050309077+8.133260820199858j),N/A,1
2022-09-15 18:00:00,main,msource,measured_voltage_A,(12470.550048714558+0.10979553325378306j),N/A,1
2022-09-15 18:00:00,main,msource,measured_voltage_B,(-6235.245749372026-10799.843062654403j),N/A,1
2022-09-15 18:00:00,main,msource,measured_voltage_C,(-6235.357925879059+10799.910630647542j),N/A,1
2022-09-15 18:00:00,main,msource,measured_current_A,(0.0021597880763002397-0.0020100852483884157j),N/A,1
2022-09-15 18:00:00,main,msource,measured_current_B,(-0.0020911465981043875+0.00035546690924093127j),N/A,1
2022-09-15 18:00:00,main,msource,measured_current_C,(-0.000166601239470765+0.001379139575874433j),N/A,1
2022-09-15 18:00:00,main,msource,measured_power_A,(26.933524601737346+25.067105827294125j),N/A,1
2022-09-15 18:00:00,main,msource,measured_power_B,(9.19982610337528+24.800478615417955j),N/A,1
2022-09-15 18:00:00,main,msource,measured_power_C,(15.93340252562834+6.8001503880827565j),N/A,1
2022-09-15 18:05:00,main,msource,measured_voltage_A,(12470.549594006987+0.10953502352027597j),N/A,1
2022-09-15 18:05:00,main,msource,measured_voltage_B,(-6235.2462422658-10799.842815231003j),N/A,1
2022-09-15 18:05:00,main,msource,measured_voltage_C,(-6235.357757155112+10799.910381343503j),N/A,1
2022-09-15 18:05:00,main,msource,measured_current_A,(0.0021972216671106715-0.002026127523813148j),N/A,1
2022-09-15 18:05:00,main,msource,measured_current_B,(-0.0020127663447055966+0.00038422513171099126j),N/A,1
2022-09-15 18:05:00,main,msource,measured_current_C,(-0.0001746138877933845+0.0013930275599705055j),N/A,1
2022-09-15 18:05:00,main,msource,measured_power_A,(27.400339836804363+25.26716444222142j),N/A,1
2022-09-15 18:05:00,main,msource,measured_power_B,(8.400522759244506+24.133298455292543j),N/A,1
2022-09-15 18:05:00,main,msource,measured_power_C,(16.133352866182566+6.800210862486427j),N/A,1
2022-09-15 18:10:00,main,msource,measured_voltage_A,(12470.549503302216+0.10964726496350218j),N/A,1
2022-09-15 18:10:00,main,msource,measured_voltage_B,(-6235.24614078127-10799.842830763033j),N/A,1
2022-09-15 18:10:00,main,msource,measured_voltage_C,(-6235.3578552897+10799.910391323505j),N/A,1
2022-09-15 18:10:00,main,msource,measured_current_A,(0.002181191009892336-0.0019619664069769893j),N/A,1
2022-09-15 18:10:00,main,msource,measured_current_B,(-0.0020542847778415307+0.00029097463993821293j),N/A,1
2022-09-15 18:10:00,main,msource,measured_current_C,(-0.00017072125046979636+0.0014076158549869433j),N/A,1
2022-09-15 18:10:00,main,msource,measured_power_A,(27.200435340769655+24.467038363651127j),N/A,1
2022-09-15 18:10:00,main,msource,measured_power_B,(9.666490854031549+24.000251231057447j),N/A,1
2022-09-15 18:10:00,main,msource,measured_power_C,(16.26663318944693+6.933214371654667j),N/A,1
2022-09-15 18:15:00,main,msource,measured_voltage_A,(12470.548148838083+0.10923230797774391j),N/A,1
2022-09-15 18:15:00,main,msource,measured_voltage_B,(-6235.247648357604-10799.842590789154j),N/A,1
2022-09-15 18:15:00,main,msource,measured_voltage_C,(-6235.357195199012+10799.910573604548j),N/A,1
2022-09-15 18:15:00,main,msource,measured_current_A,(0.002202568857856413-0.002026126885712465j),N/A,1
2022-09-15 18:15:00,main,msource,measured_current_B,(-0.002077968019875698+0.0003354671207489446j),N/A,1
2022-09-15 18:15:00,main,msource,measured_current_C,(-0.00016729245544411242+0.0013910721463616937j),N/A,1
2022-09-15 18:15:00,main,msource,measured_power_A,(27.46701967451372+25.26715347561247j),N/A,1
2022-09-15 18:15:00,main,msource,measured_power_B,(9.33365311081839+24.533448099102518j),N/A,1
2022-09-15 18:15:00,main,msource,measured_power_C,(16.066582997894386+6.867088158422183j),N/A,1
2022-09-15 18:20:00,main,msource,measured_voltage_A,(12470.549008492146+0.10894799848620818j),N/A,1
2022-09-15 18:20:00,main,msource,measured_voltage_B,(-6235.2473280138865-10799.84331726868j),N/A,1
2022-09-15 18:20:00,main,msource,measured_voltage_C,(-6235.357156425862+10799.910840945364j),N/A,1
2022-09-15 18:20:00,main,msource,measured_current_A,(0.0021918986330138335-0.002084942056085337j),N/A,1
2022-09-15 18:20:00,main,msource,measured_current_B,(-0.002061733539449051+0.0004063440428581089j),N/A,1
