# file...... r1_real_power.csv
# date...... Tue Apr 25 19:44:23 2023
# user...... hunk
# host...... (null)
# target.... meter 20
# trigger... (none)
# interval.. 0
# limit..... 0
# timestamp,measured_voltage_A, measured_power_A, measured_current_A
1999-12-31 19:00:01 EST,+470.002-0.00136477d,+93.1119+30.4457d,+0.17079-0.100391j
1999-12-31 19:00:02 EST,+470.068-0.00136439d,+93.1119+30.4457d,+0.170766-0.100376j
1999-12-31 19:00:03 EST,+469.885-0.00136545d,+93.1119+30.4457d,+0.170832-0.100415j
1999-12-31 19:00:04 EST,+469.712-0.00136645d,+93.1119+30.4457d,+0.170895-0.100452j
1999-12-31 19:00:05 EST,+469.615-0.00136702d,+93.1119+30.4457d,+0.170931-0.100473j
1999-12-31 19:00:06 EST,+469.339-0.00136863d,+93.1119+30.4457d,+0.171031-0.100532j
1999-12-31 19:00:07 EST,+469.296-0.00136888d,+93.1119+30.4457d,+0.171047-0.100542j
1999-12-31 19:00:08 EST,+469.341-0.00136862d,+93.1119+30.4457d,+0.17103-0.100532j
1999-12-31 19:00:09 EST,+469.226-0.00136929d,+93.1119+30.4457d,+0.171073-0.100557j
1999-12-31 19:00:10 EST,+469.159-0.00136968d,+93.1119+30.4457d,+0.171097-0.100571j
1999-12-31 19:00:11 EST,+469.174-0.00136959d,+93.1119+30.4457d,+0.171091-0.100568j
1999-12-31 19:00:12 EST,+469.071-0.00137019d,+93.1119+30.4457d,+0.171129-0.10059j
1999-12-31 19:00:13 EST,+469.34-0.00136862d,+93.1119+30.4457d,+0.171031-0.100532j
1999-12-31 19:00:14 EST,+469.687-0.0013666d,+93.1119+30.4457d,+0.170904-0.100458j
1999-12-31 19:00:15 EST,+469.834-0.00136575d,+93.1119+30.4457d,+0.170851-0.100426j
1999-12-31 19:00:16 EST,+469.976-0.00136492d,+93.1119+30.4457d,+0.170799-0.100396j
1999-12-31 19:00:17 EST,+469.795-0.00136598d,+93.1119+30.4457d,+0.170865-0.100435j
1999-12-31 19:00:18 EST,+469.863-0.00136558d,+93.1119+30.4457d,+0.17084-0.10042j
1999-12-31 19:00:19 EST,+469.983-0.00136488d,+93.1119+30.4457d,+0.170797-0.100394j
1999-12-31 19:00:20 EST,+469.938-0.00136514d,+93.1119+30.4457d,+0.170813-0.100404j
1999-12-31 19:00:21 EST,+469.756-0.0013662d,+93.1119+30.4457d,+0.17088-0.100443j
1999-12-31 19:00:22 EST,+469.834-0.00136575d,+93.1119+30.4457d,+0.170851-0.100426j
1999-12-31 19:00:23 EST,+469.581-0.00136722d,+93.1119+30.4457d,+0.170943-0.10048j
1999-12-31 19:00:24 EST,+469.355-0.00136854d,+93.1119+30.4457d,+0.171025-0.100529j
1999-12-31 19:00:25 EST,+469.694-0.00136656d,+93.1119+30.4457d,+0.170902-0.100456j
1999-12-31 19:00:26 EST,+469.484-0.00136779d,+93.1119+30.4457d,+0.170978-0.100501j
1999-12-31 19:00:27 EST,+469.509-0.00136764d,+93.1119+30.4457d,+0.170969-0.100496j
1999-12-31 19:00:28 EST,+469.936-0.00136515d,+93.1119+30.4457d,+0.170814-0.100405j
